allstar,name,fg_per_g,ws_per_48,mp_per_g,ft_per_g,fg_pct_03_10,def_rtg,usg_pct,pf_per_poss,ast_pct,ows,fga_per_g
-1,Jonas Valanciunas,4.7,0.189,26.2,2.7,0.5,105,19.1,5.5,3.1,5.8,8.2
-1,Jonas Valanciunas,5.1,0.211,26,2.7,0.473,102,20.9,5.2,4.8,4.5,8.9
-1,Luis Scola,7.7,0.11,32.6,2.9,0.421,108,25.7,4.8,13.7,3.3,15.3
-1,Luis Scola,6.6,0.08,31.3,2.3,0.404,107,24.8,5.4,12,1.8,13.5
-1,Luis Scola,5.3,0.096,26.6,2.2,0.393,107,23.3,6,14.5,2.4,11.2
-1,Luis Scola,3.2,0.084,17.1,1.2,0.388,99,23.8,6.1,10.4,-0.4,6.8
-1,Luis Scola,3.7,0.126,20.5,2,0.39,101,22.8,6,11,1.7,7.9
-1,Luis Scola,3.5,0.098,21.5,0.8,0.403,105,19.5,5.6,6.8,1.4,7.9
-1,Terrence Ross,2.5,0.034,17,0.4,0.575,109,19.6,5.2,7.2,0,6.3
-1,Terrence Ross,3.9,0.094,26.7,1,0.459,107,18.6,4.4,6.1,2,9.3
-1,Terrence Ross,3.8,0.054,25.5,0.5,0.324,110,18.3,3.4,6.5,1.3,9.2
-1,Terrence Ross,3.7,0.1,23.9,0.7,0.474,107,18.2,3.5,5.3,2.1,8.6
-1,Norman Powell,2,0.105,14.8,0.9,0.12,105,17.8,4.2,10.4,0.7,4.7
-1,Patrick Patterson,2.9,0.134,16.7,0.6,0.49,109,16.1,4.5,7.6,1.7,5.1
-1,Patrick Patterson,3.5,0.052,23.2,0.6,0.395,107,17.9,4,5.7,0.5,8
-1,Patrick Patterson,4.5,0.111,25,0.7,0.461,110,17.6,3.9,7.5,3.1,8.8
-1,Patrick Patterson,3.5,0.118,23.6,0.8,0.5,105,17.2,5.4,8.5,1.8,7.5
-1,Patrick Patterson,3,0.137,26.6,0.8,0.597,108,13.1,3.6,10.7,4.4,6.6
-1,Patrick Patterson,2.6,0.086,25.6,0.4,0.56,107,12.9,3.3,7.1,1.6,6.2
-1,Lucas Nogueira,0.3,-0.071,3.8,0.3,0,93,23.1,13.5,6.2,-0.1,1.3
-1,Lucas Nogueira,1,0.154,7.8,0.3,0.333,101,12.4,6.7,4.9,0.3,1.5
-1,Kyle Lowry,4.6,0.13,34.2,2.6,0.405,110,18.6,4.1,29.4,5.1,10.8
-1,Kyle Lowry,4.5,0.156,32.1,3.6,0.264,104,22,4.6,32.3,3.3,10.9
-1,Kyle Lowry,3.7,0.133,29.7,2.8,0.378,106,20.3,5.7,34.6,3.5,9.2
-1,Kyle Lowry,5.8,0.197,36.2,4,0.417,106,22.9,4.9,34.7,8.4,13.7
1,Kyle Lowry,6.1,0.141,34.5,3.6,0.404,107,25.4,4.5,32.4,5.1,14.9
1,Kyle Lowry,6.6,0.196,37,5.2,0.355,104,26.1,3.8,29.9,8,15.6
-1,Cory Joseph,0.8,0.001,9.2,0.4,0.182,106,15.4,3.1,17.4,-0.2,2.4
-1,Cory Joseph,1.8,0.113,13.9,0.6,0.5,103,16.6,3.3,20.2,0.4,3.9
-1,Cory Joseph,1.9,0.148,13.8,1.2,0.404,104,16.9,4.5,17.2,1.6,3.9
-1,Cory Joseph,2.6,0.149,18.3,1.3,0.474,104,17,3.7,19.7,2.7,5.2
-1,Cory Joseph,3.2,0.082,25.6,1.7,0.4,108,17,3.3,19.3,1.8,7.3
-1,James Johnson,2.8,0.036,21.6,1.2,0.188,108,18.2,6,16.4,-0.1,6.2
-1,James Johnson,3.8,0.079,25.2,1.3,0.419,100,20.2,6.1,13.9,0.1,8.4
-1,James Johnson,2.2,-0.028,16.3,0.7,0.406,108,19.3,5.8,10.2,-1.1,5.2
-1,James Johnson,2.8,0.15,18.4,1.5,0.429,101,20,5.7,18.2,1.4,5.9
-1,James Johnson,3.4,0.143,19.6,1,0.49,104,17.4,5.9,11.4,2.5,5.8
-1,James Johnson,2,0.068,16.2,0.7,0.4,106,15.9,4.7,11.4,0.3,4.2
-1,DeMar DeRozan,6.6,0.055,34.8,4,0.474,115,23.2,3.9,8.6,2.8,14.1
-1,DeMar DeRozan,6,0.054,35,4.3,0.445,108,25,3.9,10.8,1.1,14.3
-1,DeMar DeRozan,6.7,0.075,36.7,4.3,0.404,110,24.2,3,12,3.1,15
1,DeMar DeRozan,7.6,0.141,38.2,6.6,0.392,107,28,3.4,18.9,5.8,17.8
-1,DeMar DeRozan,6.8,0.09,35,6,0.393,109,28.4,3,17,2.6,16.5
1,DeMar DeRozan,7.9,0.169,35.9,7.1,0.433,108,29.8,3.1,20.8,7.5,17.7
-1,DeMarre Carroll,0.3,0.066,4.2,0.2,0.333,108,11.6,5.2,10.7,0,1
-1,DeMarre Carroll,1.8,0.069,14.5,0.6,0.35,109,15.9,5.6,8.1,0.3,4.4
-1,DeMarre Carroll,2.3,0.134,16.8,1.1,0.25,106,16.4,5.7,8.7,2,4.9
-1,DeMarre Carroll,4.1,0.119,32.1,1.5,0.368,106,15.2,4.1,8.9,3.2,8.8
-1,DeMarre Carroll,4.5,0.154,31.3,1.8,0.468,104,16.9,3.6,8.3,4.3,9.3
-1,DeMarre Carroll,4,0.074,30.2,1.2,0.286,104,18.5,4.1,5.5,0.2,10.4
-1,Bruno Caboclo,0.5,-0.275,2.9,0,0,113,31.5,6.7,0,-0.1,1.5
-1,Bruno Caboclo,0.2,-0.283,7.2,0,0,107,16.9,2.4,3.2,-0.3,2
-1,Bismack Biyombo,2,0.019,23.1,1.1,0.354,107,13.1,5.3,3.1,-0.5,4.4
-1,Bismack Biyombo,2,0.031,27.3,0.9,0.273,109,10.2,4.7,2.5,0.1,4.3
-1,Bismack Biyombo,1.1,0.144,13.9,0.6,0.371,99,9.6,6,1.1,1.1,1.9
-1,Bismack Biyombo,1.6,0.156,19.4,1.6,0.233,99,11.6,5.8,2,1.8,2.9
-1,Bismack Biyombo,1.9,0.156,22,1.7,0.322,101,11.5,6.4,2.4,2.8,3.5
-1,Anthony Bennett,1.5,-0.028,12.8,0.8,0.2,107,20.3,7.2,4,-1.1,4.3
-1,Anthony Bennett,2.2,0.017,15.7,0.7,0.2,111,17.8,4.9,8.7,-0.1,5.2
-1,Anthony Bennett,0.4,0.054,4.4,0.5,0,102,19.2,4.9,0,0,1.4
-1,Hassan Whiteside,0,0.007,2,0,,115,0,50.4,0,0,0
-1,Hassan Whiteside,0.7,0.073,6.1,0.3,0.6,102,14.8,5.6,0,0,1.5
-1,Hassan Whiteside,5.1,0.221,23.8,1.6,0.482,97,21.1,6,1,2.8,8.1
-1,Hassan Whiteside,5.7,0.233,29.1,2.9,0.435,95,20.7,4.9,2.4,5,9.3
1,Dwyane Wade,9.1,0.218,37.1,6.5,0.483,102,31.6,3.7,23.5,8.1,18.2
1,Dwyane Wade,8.5,0.227,33.2,4.8,0.453,99,31.3,3.6,27.3,4.8,17.1
1,Dwyane Wade,8.2,0.192,34.7,4.5,0.431,103,29.5,3.1,26.6,6.1,15.8
1,Dwyane Wade,7.7,0.149,32.9,3.5,0.517,106,27.9,3.1,25.5,3.5,14.1
1,Dwyane Wade,8.2,0.086,31.8,4.6,0.488,108,34.7,2.8,32.1,2.1,17.5
1,Dwyane Wade,7.3,0.105,30.5,4.4,0.43,106,31.6,2.6,27.4,2.4,16
1,Amar'e Stoudemire,9.5,0.134,36.8,6.1,0.426,108,30.9,4.8,13.2,5.4,19
-1,Amar'e Stoudemire,6.7,0.128,32.8,4,0.328,101,25.4,4.6,6.3,1.8,13.9
-1,Amar'e Stoudemire,5.3,0.191,23.5,3.6,0.484,108,25.7,7,3.6,2.1,9.2
-1,Amar'e Stoudemire,4.8,0.124,22.6,2.3,0.5,110,23.4,5.8,4.2,2.9,8.6
-1,Amar'e Stoudemire,4.6,0.138,21.1,2.3,0.485,107,23.8,6.7,6.8,2.6,8.3
-1,Amar'e Stoudemire,2.4,0.15,14.7,1,0.472,101,17.8,6.2,5.6,1.1,4.3
-1,Josh Richardson,2.4,0.109,21.3,0.8,0.31,106,13.8,5,9.7,1.3,5.2
-1,Josh McRoberts,2.9,0.147,22.2,1.2,0.391,104,14.7,5.2,15,2.6,5.4
-1,Josh McRoberts,1.1,0.095,14.4,0.5,0.091,104,10.5,5.5,10.5,0.6,2.4
-1,Josh McRoberts,2.3,0.072,22.2,1,0.366,110,13.7,4.6,14.8,1.5,5.1
-1,Josh McRoberts,3.2,0.132,30.3,0.8,0.4,105,13.4,4.2,21.9,3.5,7.3
-1,Josh McRoberts,1.6,0.07,17.4,0.5,0.571,106,12.8,7.3,17.5,0.1,3.1
-1,Josh McRoberts,1.3,0.064,14.2,0.7,0.423,105,15,5.9,19.4,0.1,3.5
-1,Tyler Johnson,2.2,0.06,18.8,1,0.31,105,17,3.7,11.3,0.1,5.2
-1,Tyler Johnson,3.3,0.113,24,1.4,0.407,107,16.8,3.9,13.9,1.2,6.8
-1,Udonis Haslem,3.4,0.13,26.5,1.2,0.273,102,14.8,6,2.7,0.4,6.6
-1,Udonis Haslem,2.4,0.106,24.8,1.3,0.314,99,13.5,4.7,4,0.7,5.6
-1,Udonis Haslem,1.7,0.108,18.9,0.4,0.227,103,10.7,6.5,3.8,1.2,3.3
-1,Udonis Haslem,1.6,0.083,14.2,0.5,0.167,105,13.9,6.4,2.9,0.3,3.2
-1,Udonis Haslem,1.7,0.066,16,0.7,0.464,106,14.6,6,7.4,0.4,3.9
-1,Udonis Haslem,0.6,0.072,7,0.3,0.571,103,12.8,4.9,7.6,0,1.6
-1,Gerald Green,5,0.072,25.2,1.6,0.606,109,23.6,5.5,8.5,0.8,10.3
-1,Gerald Green,2.6,0.056,18,0.9,0.375,103,21.3,3.2,7.9,-0.3,7.1
-1,Gerald Green,5.5,0.126,28.4,2.4,0.458,108,23.6,4.7,8.6,4.2,12.3
-1,Gerald Green,4.4,0.065,19.5,1.3,0.411,108,28.4,5,10.9,1,10.5
-1,Gerald Green,3.3,0.052,22.6,1,0.318,107,19.8,4.1,5.6,0.3,8.5
-1,Goran Dragic,2.7,0.04,17.6,1.2,0.29,111,22.4,5.2,25.6,0.2,6.3
-1,Goran Dragic,4.2,0.139,26.5,2.3,0.363,106,21.8,5,32.5,3.6,9.1
-1,Goran Dragic,5.2,0.106,33.5,3.2,0.341,109,21.7,4.3,35.7,4.1,11.8
-1,Goran Dragic,7.3,0.186,35.1,4.2,0.351,109,24.5,3.9,28.1,8.4,14.4
-1,Goran Dragic,6.4,0.123,33.8,2.3,0.381,110,21.8,3.8,22.8,5.4,12.8
-1,Goran Dragic,5.8,0.096,32.8,1.7,0.387,107,21.9,4.1,28.7,2.4,12.2
-1,Luol Deng,6.5,0.149,39.1,3.1,0.456,102,20.9,2.7,11.9,4.7,14.1
1,Luol Deng,5.8,0.132,39.4,2.4,0.344,100,19.8,2,11.7,2.3,14
1,Luol Deng,6.2,0.105,38.7,3.1,0.342,105,21.5,1.9,13.2,3,14.6
-1,Luol Deng,5.9,0.098,35.1,3.4,0.358,107,22.3,2.6,14.6,2.2,13.7
-1,Luol Deng,5.1,0.106,33.6,2.7,0.458,109,19.5,2.4,9.9,3.7,10.9
-1,Luol Deng,4.6,0.128,32.4,2,0.446,105,17.4,2.6,9,3.5,10.1
1,Chris Bosh,6.8,0.177,36.3,5,0.431,103,23.5,3.2,8.9,6.1,13.7
1,Chris Bosh,6.9,0.165,35.2,4,0.352,100,24.2,3.4,9.1,3.6,14.2
1,Chris Bosh,6.6,0.175,33.2,3.3,0.38,103,22.7,3.6,8.4,5.6,12.3
1,Chris Bosh,6.2,0.152,32,2.8,0.495,104,22.6,4,5.8,4.6,12.1
1,Chris Bosh,7.8,0.111,35.4,4.1,0.471,106,28.4,2.3,12,2.1,16.9
1,Chris Bosh,6.8,0.172,33.5,4,0.364,104,24.7,2.9,12.1,4.1,14.5
-1,Walter Tavares,1,0.106,6.6,0.3,0.333,99,16.9,5.4,6.3,0,1.7
-1,Tiago Splitter,1.7,0.149,12.3,1.3,0.37,103,17.7,6.4,5.3,1.1,3.2
-1,Tiago Splitter,3.6,0.197,19,2.1,0.385,102,20.7,6.2,9.2,3,5.8
-1,Tiago Splitter,3.9,0.197,24.7,2.6,0.286,100,18.2,4.1,10,4.7,7
-1,Tiago Splitter,3.1,0.163,21.5,2.1,0.366,102,17.7,4.7,10.1,2.3,5.9
-1,Tiago Splitter,3.3,0.189,19.8,1.7,0.509,101,18.4,5.1,11.8,2.3,5.8
-1,Tiago Splitter,2.3,0.144,16.1,1.1,0.333,102,15.5,6.1,7.9,0.9,4.3
-1,Thabo Sefolosha,2,0.097,25.9,0.7,0.371,106,9.4,4.3,7.9,1.6,4.2
-1,Thabo Sefolosha,1.6,0.095,21.8,0.9,0.182,104,10.6,4.4,7.4,0.8,3.7
-1,Thabo Sefolosha,2.8,0.146,27.5,0.7,0.1,103,11.4,4.1,8.2,3.6,5.8
-1,Thabo Sefolosha,2.3,0.092,26,0.9,0.261,104,11.9,2.9,8.3,0.9,5.6
-1,Thabo Sefolosha,2,0.121,18.8,0.9,0.394,100,14.6,3.5,11.2,0.8,4.8
-1,Thabo Sefolosha,2.5,0.122,23.4,0.8,0.44,100,12.3,3.1,8.8,1.3,5
-1,Mike Scott,1.8,0.11,9.4,1.1,0.308,106,23.7,4.4,5.4,0.5,3.7
-1,Mike Scott,3.8,0.084,18.5,1.3,0.455,108,23.5,4.1,8.9,1.3,7.9
-1,Mike Scott,3,0.115,16.5,0.9,0.427,106,21.4,3.8,10.9,1.6,6.7
-1,Mike Scott,2.3,0.132,15.3,0.7,0.458,104,17.4,4.4,10.5,1.7,5
-1,Dennis Schroder,1.5,-0.054,13.1,0.6,0.366,110,19,4.3,22,-1.1,3.8
-1,Dennis Schroder,3.7,0.08,19.7,1.9,0.34,106,27,4.3,34.6,1.1,8.6
-1,Dennis Schroder,4.1,0.064,20.3,1.8,0.344,103,28.8,4.2,36.1,-0.2,9.8
