,fg3a_heave,dbpm,pts_per_poss,fg2a_per_poss,ft_pct,usg_pct,fg3_pct,gs,pct_fga_00_03,tov_per_g,pos,ows,ws,ast_per_g,fg3a_pct_fga,fga_per_poss,fg3_per_g,vorp,fg2_pct,tov_per_poss,fg2_pct_ast,per,mp,fg2a_per_g,off_rtg,stl_per_g,team_id,pts_per_g,pf_per_poss,fg_pct_16_xx,fg3a_per_fga_pct,pct_fga_03_10,blk_per_g,ws_per_48,drb_per_g,fg3_heave,fg3_per_poss,orb_per_g,stl_per_poss,fg_pct,fta_per_fga_pct,fg2a_pct_fga,pct_fg3a_corner,fg_pct_00_03,fg3_pct_ast,stl_pct,fg3a_per_g,ast_pct,mp_per_g,efg_pct,dws,orb_per_poss,blk_pct,trb_per_poss,age,ast_per_poss,avg_dist,year,fg_pct_10_16,fga_per_g,blk_per_poss,fg2_per_poss,fg3_pct_corner,fg3a_per_poss,drb_per_poss,ts_pct,ft_per_g,fg_pct_03_10,fg2_per_g,fg_per_g,bpm,g,trb_pct,ft_per_poss,lg_id,drb_pct,def_rtg,orb_pct,fg2_dunk,tov_pct,fta_per_poss,pf_per_g,name,fta_per_g,obpm,pct_fga_10_16,trb_per_g,pct_fg2_dunk,pct_fga_16_xx,fg_per_poss,allstar
386,1,0.2,16.9,8.9,0.731,16.3,0.346,0,0.266,0.6,PG,0.3,0.8,1.9,0.419,15.3,0.8,0.1,0.444,1.6,0.25,13.3,406,3.3,107,0.8,BOS,6.2,2.6,0.4,0.419,0.121,0.1,0.094,3,0,2.2,0.5,2.1,0.403,0.21,0.581,0.173,0.515,0.722,2.1,2.4,15,18.5,0.476,0.4,1.2,0.6,9.5,22,5.2,15.7,2016-17,0.333,5.6,0.4,3.9,0.333,6.4,8.3,0.506,0.9,0.4,1.5,2.3,-0.8,22,10.3,2.3,NBA,18,106,2.7,1,8.8,3.2,1,Terry Rozier,1.2,-1,0.073,3.5,0.008,0.121,6.2,0
390,0,-0.7,19.9,8.3,0.842,17.5,0.367,5,0.283,1.3,C,0.4,0.7,1.7,0.462,15.5,1.1,0.1,0.579,2.9,0.818,12.7,342,3.6,109,0.6,BOS,8.5,6.4,0.556,0.462,0.113,0.2,0.096,3.3,0,2.6,0.7,1.3,0.481,0.179,0.538,0.143,0.733,0.944,1.3,3.1,11.9,21.4,0.566,0.3,1.6,0.7,9.4,25,3.9,14.7,2016-17,0.333,6.6,0.4,4.8,0.857,7.2,7.7,0.595,1,0.333,2.1,3.2,-0.9,16,10.2,2.3,NBA,16.9,108,3.5,2,14.9,2.8,2.8,Kelly Olynyk,1.2,-0.2,0.057,4,0.019,0.085,7.5,0
392,0,-2.3,16.2,14.7,0.4,17.2,,0,0.7,0.4,PF,0,0.1,0.3,0,14.7,0,-0.1,0.5,2.9,0.8,10.1,68,2.2,100,0.1,BOS,2.4,5.9,0.5,0,0.2,0,0.039,1,0,0,0.9,0.7,0.5,0.25,1,,0.571,,0.7,0,6.6,7.6,0.5,0,5.9,0,12.5,22,2.2,3.9,2016-17,,2.2,0,7.4,,0,6.6,0.495,0.2,0.25,1.1,1.1,-6,9,13.6,1.5,NBA,14.4,111,12.8,5,15.3,3.7,0.9,Jordan Mickey,0.6,-3.7,0,1.9,0.25,0.1,7.4,0
399,0,1.2,16.3,10,0.84,13.8,0.375,21,0.524,0.9,PF,0.9,1.3,1.8,0.155,11.9,0.3,0.4,0.586,2.3,0.725,15.1,433,4,122,0.5,BOS,6.4,6.7,0,0.155,0.291,0.6,0.148,2.4,0,0.7,1.5,1.4,0.553,0.243,0.845,0.375,0.722,1,1.4,0.7,13.6,19.7,0.583,0.4,3.9,2.5,10,29,4.6,6.8,2016-17,0,4.7,1.5,5.9,0.333,1.8,6.1,0.618,1,0.4,2.3,2.6,1.7,22,10.9,2.4,NBA,13.3,108,8.5,8,14.9,2.9,2.6,Amir Johnson,1.1,0.5,0.01,4,0.087,0.019,6.6,0
405,0,0.5,13.8,6.6,0.778,12.1,0.457,1,0.165,0.6,PF,0.4,0.8,0.8,0.412,11.2,0.7,0.1,0.5,1.8,0.52,11.6,380,2.3,112,0.6,BOS,4.8,4.7,0.636,0.412,0.247,0.3,0.1,2.9,0,2.1,0.9,1.7,0.482,0.106,0.588,0.257,0.643,1,1.7,1.6,6.4,17.3,0.576,0.4,2.5,1.3,10.8,29,2.2,15.2,2016-17,0,3.9,0.8,3.3,0.667,4.6,8.3,0.59,0.3,0.429,1.1,1.9,-0.8,22,11.7,0.9,NBA,18.1,106,5.4,0,13.6,1.2,1.6,Jonas Jerebko,0.4,-1.3,0.035,3.7,0,0.129,5.4,0
407,0,-2.2,0,0,,4.8,0,0,0,0,SG,0,0,0,1,5.6,0,0,,0,,-3.2,9,0,0,0,CHI,0,0,,1,0,0,-0.084,0.3,0,0,0,0,0,0,0,0,,,0,0.3,0,3,0,0,0,0,5.6,23,0,24,2016-17,,0.3,0,0,,5.6,5.6,0,0,,0,0,-10.9,3,5.8,0,NBA,11.6,111,0,0,0,0,0,R.J. Hunter,0,-8.7,0,0.3,0,0,0,0
412,0,-0.2,22.4,7.9,0.905,17.7,0.397,14,0.173,1.2,SF,0.8,1.2,2.4,0.525,16.7,2.1,0.4,0.606,2,0.775,16.4,416,4.7,118,1,BOS,13.3,4.2,0.471,0.525,0.022,0.4,0.143,4.6,0,3.5,0.4,1.7,0.496,0.151,0.475,0.247,0.833,0.966,1.7,5.2,12.7,29.7,0.601,0.4,0.7,1,8.5,26,4.1,18.8,2016-17,0.6,9.9,0.6,4.8,0.556,8.8,7.8,0.627,1.4,0.333,2.9,4.9,1.9,14,9.3,2.3,NBA,17,107,1.6,4,10.3,2.5,2.5,Jae Crowder,1.5,2.1,0.036,5.1,0.029,0.245,8.3,0
420,1,-0.5,25.1,14.3,0.763,22.2,0.407,22,0.261,1.6,SG,1,1.8,2.5,0.335,21.5,2.1,0.5,0.504,2.2,0.54,16.5,782,10.2,108,1,BOS,17.9,3.6,0.439,0.335,0.086,0.3,0.109,6.5,0,2.9,1.3,1.5,0.472,0.113,0.665,0.274,0.614,0.739,1.5,5.1,11.8,35.5,0.54,0.8,1.9,0.6,11,26,3.6,15,2016-17,0.48,15.3,0.4,7.2,0.452,7.2,9.1,0.556,1.3,0.379,5.1,7.2,0.5,22,12,1.9,NBA,19.9,107,4,7,9,2.4,2.5,Avery Bradley,1.7,0.9,0.074,7.8,0.021,0.243,10.2,0
427,0,-0.6,18,8.1,0.81,18.4,0.344,16,0.173,0.6,PF,-0.1,0.5,1.2,0.556,18.2,1.9,-0.1,0.347,1.1,0.72,10.2,439,4.5,97,0.4,CHO,10,2.9,0.333,0.556,0.117,0.4,0.054,5,0,3.5,1,0.7,0.346,0.13,0.444,0.189,0.429,0.968,0.7,5.6,6.7,27.4,0.441,0.6,1.8,1.3,10.8,30,2.1,17.4,2016-17,0.462,10.1,0.8,2.8,0.353,10.1,9,0.467,1.1,0.158,1.6,3.5,-2.5,16,11.6,1.9,NBA,19,105,3.9,1,5.5,2.4,1.6,Marvin Williams,1.3,-2,0.08,6,0.006,0.074,6.3,0
433,1,-0.4,34.9,16.8,0.78,29.9,0.414,22,0.329,2.1,PG,1.9,2.9,5,0.367,26.5,2.7,1.5,0.496,3.1,0.218,23.8,737,11.4,113,1.6,CHO,23.6,2.2,0.415,0.367,0.071,0.3,0.19,3.5,0,4,0.4,2.3,0.466,0.299,0.633,0.103,0.608,0.517,2.3,6.6,28.7,33.5,0.542,1,0.6,0.8,5.8,26,7.4,14.1,2016-17,0.286,18,0.5,8.3,0.533,9.7,5.2,0.582,4.2,0.357,5.6,8.4,5.9,22,6.3,6.2,NBA,11,104,1.3,0,9.3,7.9,1.5,Kemba Walker,5.4,6.3,0.071,4,0,0.165,12.3,0
440,0,-1,26.5,13.8,0.773,25.2,0.316,5,0.328,2.4,PG,0.3,0.4,6.2,0.328,20.5,1.2,0.1,0.513,4.2,0.15,21.9,134,7.8,111,1.4,BRK,15,0.7,0.333,0.328,0.155,0.6,0.13,3.4,0,2.1,0.4,2.5,0.448,0.379,0.672,0.053,0.474,0.333,2.5,3.8,39.4,26.8,0.5,0.1,0.7,1.7,6.7,28,10.9,13,2016-17,0.6,11.6,1.1,7.1,0,6.7,6,0.554,3.4,0.667,4,5.2,1.3,5,7.5,6,NBA,13.4,110,1.6,0,15.1,7.8,0.4,Jeremy Lin,4.4,2.4,0.086,3.8,0,0.103,9.2,0
445,0,-0.3,27.3,15.1,0.8,25.6,0.269,1,0.256,1.1,SG,0.1,0.4,1,0.317,22.2,0.6,0,0.536,3.2,0.4,17.7,183,5.1,102,0.3,CHO,9.2,3,0.333,0.317,0.085,0.5,0.108,4.5,0,1.9,0.7,0.8,0.451,0.305,0.683,0.231,0.619,0.857,0.8,2.4,10.6,16.6,0.494,0.3,2.2,2.3,15.7,24,3,14.3,2016-17,0.615,7.5,1.4,8.1,0,7,13.5,0.543,1.8,0.571,2.7,3.4,-2.2,11,16.8,5.4,NBA,28.5,101,4.7,2,11.4,6.8,1,Jeremy Lamb,2.3,-1.9,0.159,5.3,0.024,0.183,10,0
450,1,2.2,15.4,12.2,0.724,14.8,0,21,0.556,0.8,SF,0.6,1.6,1.3,0.019,12.4,0,0.2,0.459,1.3,0.639,12.8,637,7.5,108,0.8,CHO,9.5,3.8,0.306,0.019,0.1,1,0.119,5.3,0,0,1.8,1.2,0.45,0.475,0.981,0.667,0.607,,1.2,0.1,6.5,30.3,0.45,1,2.9,2.7,11.6,23,2.1,7.4,2016-17,0.267,7.6,1.6,5.6,0,0.2,8.7,0.514,2.6,0.188,3.4,3.4,-0.4,21,12.4,4.3,NBA,18.3,102,6.3,9,8.1,5.9,2.3,Michael Kidd-Gilchrist,3.6,-2.7,0.094,7.1,0.056,0.225,5.6,0
452,0,-0.2,20.5,11.6,0.657,21,0.282,6,0.255,1.1,C,0,0.7,2.7,0.409,19.7,1.2,0.1,0.496,2.1,0.623,12.5,523,6.2,99,0.5,CHO,10.9,2.7,0.429,0.409,0.245,0.4,0.061,3.9,0,2.3,0.8,0.9,0.409,0.168,0.591,0.118,0.585,1,0.9,4.3,16.7,26.2,0.466,0.6,1.4,1.1,8.8,23,5,13.7,2016-17,0.182,10.4,0.7,5.8,0.6,8,7.4,0.486,1.2,0.49,3.1,4.3,-1.1,20,9.4,2.2,NBA,15.5,105,3.1,3,9,3.3,1.5,Frank Kaminsky,1.8,-1,0.053,4.7,0.014,0.034,8,0
459,0,-1.6,23.6,22,0.667,22.6,0,1,0.299,0.5,C,0.3,0.6,1,0.006,22.2,0,-0.1,0.484,1.6,0.527,15.5,339,7,105,0.2,IND,7.5,6.5,0.286,0.006,0.338,0.3,0.083,3.1,0,0,1.2,0.7,0.481,0.156,0.994,0,0.674,,0.7,0,10.5,15.4,0.481,0.3,3.7,1.5,13.5,32,3,7.9,2016-17,0.212,7,0.9,10.7,,0.1,9.8,0.498,0.7,0.577,3.4,3.4,-3.8,22,15.1,2.3,NBA,21.6,108,8.5,4,6.3,3.5,2,Al Jefferson,1.1,-2.2,0.214,4.3,0.026,0.136,10.7,0
466,0,2.3,20,13.8,0.813,20.1,0.286,0,0.347,1.2,PF,0.1,0.7,1.8,0.226,17.8,0.4,0.2,0.531,3.5,0.804,15.5,344,4.8,101,0.5,CHO,7,3.7,0.313,0.226,0.185,0.8,0.098,3.2,0,1.2,1.1,1.3,0.476,0.129,0.774,0.179,0.605,1,1.3,1.4,17,17.2,0.508,0.6,3,3.6,12.1,28,5,11.2,2016-17,0.5,6.2,2.2,7.3,0.4,4,9.1,0.53,0.7,0.565,2.6,3,0.8,20,13,1.9,NBA,19.1,101,6.6,4,15.5,2.3,1.3,Spencer Hawes,0.8,-1.6,0.113,4.2,0.048,0.129,8.5,0
468,0,-2.1,3.3,6.6,0.5,14.5,0,0,0,0,SG,-0.1,-0.1,0.5,0.5,13.2,0,0,0,0,,-5.4,15,0.5,45,0,CHO,0.3,6.6,0,0.5,0,0,-0.185,0.5,0,0,0,0,0,0.5,0.5,0.5,,,0,0.5,17.3,3.8,0,0,0,0,6.6,22,6.6,22.3,2016-17,,1,0,0,0,6.6,6.6,0.102,0.3,,0,0,-12.3,4,7.1,3.3,NBA,13.9,108,0,0,0,6.6,0.5,Aaron Harrison,0.5,-10.2,0,0.5,0,0.5,0,0
481,0,-3.3,23.9,9.3,0.813,21.9,0.362,2,0.051,0.5,SG,0.2,0.4,1,0.585,22.4,1.9,-0.1,0.388,1.1,0.632,11.2,272,3.8,103,0.3,MEM,9.7,3,0.308,0.585,0.051,0.2,0.069,1,0,4.7,0.2,0.8,0.373,0.136,0.415,0.159,0.5,0.8,0.8,5.3,8.6,20.9,0.479,0.2,0.6,0.7,3,25,2.5,21.4,2016-17,0.444,9.1,0.4,3.6,0.364,13.1,2.5,0.504,1,0.5,1.5,3.4,-3.3,13,3.4,2.5,NBA,5.6,109,1.2,0,4.6,3,1.2,Troy Daniels,1.2,0,0.076,1.2,0,0.22,8.3,0
488,2,1.7,19.2,8.5,0.788,19.8,0.313,21,0.096,2.3,SG,0.4,1.5,5.5,0.479,16.3,1.7,0.7,0.448,3.3,0.625,14.5,730,6,103,1,CHO,13.5,2.3,0.362,0.479,0.075,0.4,0.099,7,0,2.4,0.7,1.4,0.383,0.333,0.521,0.061,0.783,0.889,1.4,5.5,24.7,34.8,0.458,1.1,1,1,10.9,28,7.9,18.7,2016-17,0.351,11.4,0.6,3.8,0.143,7.8,9.9,0.514,3,0.444,2.7,4.4,1.9,21,11.7,4.3,NBA,20.8,103,2.2,4,14.9,5.4,1.6,Nicolas Batum,3.8,0.2,0.154,7.7,0.017,0.196,6.2,0
492,1,2.3,25.2,15.4,0.782,21.1,0.321,21,0.333,1.6,C,1.1,2,1,0.13,17.7,0.4,0.6,0.564,2.8,0.802,20.4,596,9,113,0.9,IND,14.6,5.3,0.576,0.13,0.13,2.2,0.159,5.7,0,0.7,1.6,1.6,0.532,0.403,0.87,0.107,0.681,0.889,1.6,1.3,5.7,28.4,0.553,0.9,2.7,6.7,12.5,20,1.7,11.9,2016-17,0.364,10.3,3.9,8.7,0.333,2.3,9.8,0.604,3.2,0.393,5,5.5,1.9,21,13.9,5.6,NBA,21.5,103,6.1,16,11.8,7.1,3.1,Myles Turner,4.1,-0.4,0.102,7.2,0.074,0.306,9.4,0
499,0,-2.4,22.9,13.6,0.683,22.3,0.278,0,0.212,1.7,PG,0,0.1,1.5,0.212,17.2,0.4,-0.2,0.522,4.1,0.229,11.9,241,5.6,98,0.6,IND,9.4,3.4,0.4,0.212,0.106,0,0.026,2.2,0,1,0.3,1.4,0.471,0.482,0.788,0.278,0.611,0.8,1.4,1.5,11.6,20.1,0.5,0.1,0.6,0,5.9,30,3.6,14.2,2016-17,0.667,7.1,0,7.1,0.4,3.6,5.3,0.548,2.3,0.444,2.9,3.3,-5,12,6.6,5.7,NBA,11.6,111,1.4,0,16.3,8.3,1.4,Rodney Stuckey,3.4,-2.6,0.176,2.4,0,0.294,8.1,0
502,0,-1.3,16.4,9.6,0.75,15.2,0.351,5,0.225,0.5,SF,0.2,0.5,0.7,0.333,14.3,0.7,-0.1,0.473,1.3,0.657,10.8,378,3.7,105,0.5,IND,6.4,3,0.406,0.333,0.072,0.3,0.06,2.3,0,1.7,0.6,1.3,0.432,0.216,0.667,0.459,0.68,1,1.3,1.9,5,18.9,0.491,0.2,1.6,1.1,7.4,23,1.7,15.6,2016-17,0.222,5.6,0.6,4.5,0.471,4.8,5.8,0.522,0.9,0.375,1.8,2.4,-3,20,8.2,2.3,NBA,12.8,110,3.5,6,7.6,3.1,1.2,Glenn Robinson III,1.2,-1.8,0.081,2.9,0.063,0.288,6.2,0
509,0,-1.8,27.2,9.5,0.92,20.5,0.44,3,0.169,0.6,SF,0.9,1.2,0.7,0.528,20.1,2.1,0.3,0.522,1.3,0.686,19,345,4.2,121,0.8,IND,12,4.1,0.316,0.528,0.106,0.6,0.163,2.5,0,4.7,0.4,1.8,0.479,0.176,0.472,0.24,0.792,0.909,1.8,4.7,5.2,21.6,0.595,0.3,1,2.2,6.7,29,1.6,17.8,2016-17,0.333,8.9,1.3,5,0.556,10.6,5.7,0.627,1.4,0.467,2.2,4.3,1.4,16,7.4,3.3,NBA,12.5,108,2.2,2,5.6,3.5,1.8,C.J. Miles,1.6,3.1,0.063,2.9,0.021,0.134,9.6,0
516,0,4.1,3.5,3.5,0.5,12.1,,0,1,2,C,-0.1,-0.1,0,0,3.5,0,0,0,7.1,,-4.9,14,1,27,1,WAS,1,10.6,,0,0,1,-0.183,1,0,0,0,3.5,0,2,1,,0,,3.5,0,0,14,0,0,0,6.1,3.5,30,0,2,2016-17,,1,3.5,0,,0,3.5,0.266,1,,0,0,-8.9,1,4,3.5,NBA,8.2,102,0,0,51.5,7.1,3,Ian Mahinmi,2,-13,0,1,0,0,0,0
520,1,2.2,9.5,4.2,0.805,10.6,0.296,15,0.287,1.1,SF,-0.1,0.6,2,0.5,8.3,0.7,0.2,0.389,1.9,0.333,7.4,638,2.3,95,1,NOP,5.3,4.2,0,0.5,0.093,0.5,0.045,3.4,0,1.2,0.4,1.8,0.343,0.38,0.5,0.463,0.581,1,1.8,2.3,9.8,27.7,0.417,0.7,0.8,1.5,6.8,25,3.5,15.4,2016-17,0,4.7,0.9,1.6,0.32,4.2,6.1,0.488,1.4,0.3,0.9,1.6,-0.8,23,7.4,2.5,NBA,13.1,106,1.7,4,16.6,3.2,2.4,Solomon Hill,1.8,-3,0.056,3.9,0.037,0.056,2.8,0
527,0,-10.4,27.4,13.7,1,23.4,,0,0.667,1,C,0,0,0,0,13.7,0,0,0.667,9.1,0,20.2,11,1.5,115,0,MIN,3,13.7,1,0,0,0,0.149,1.5,0,0,1.5,0,0.667,0.667,1,,0.5,,0,0,0,5.5,0.667,0,13.7,0,27.4,29,0,6.3,2016-17,,1.5,0,9.1,,0,13.7,0.773,1,,1,1,-12.9,2,31.5,9.1,NBA,33,111,30.1,0,34,9.1,1.5,Jordan Hill,1,-2.6,0,3,0,0.333,9.1,0
534,0,-1,32,13,0.884,23.7,0.456,11,0.267,1.4,PG,1.6,2,4.2,0.39,21.3,2.4,0.8,0.584,2.2,0.212,25.1,360,8.1,131,1.1,UTA,20,3.8,0.412,0.39,0.096,0.2,0.271,3.2,0,3.8,0.4,1.7,0.534,0.295,0.61,0.228,0.667,0.692,1.7,5.2,23.6,32.7,0.623,0.4,0.6,0.4,5.7,30,6.7,14.5,2016-17,0.5,13.3,0.3,7.6,0.538,8.3,5.1,0.667,3.5,0.714,4.7,7.1,6.2,11,6.2,5.5,NBA,10.6,106,1.3,0,8.3,6.3,2.4,George Hill,3.9,7.2,0.137,3.5,0.007,0.116,11.4,0
541,1,0.3,29,14.6,0.925,26.9,0.363,15,0.174,3,SF,0.5,1.2,3.4,0.368,23.1,2.2,0.6,0.481,4.2,0.467,19.2,523,10.4,105,1.9,IND,20.7,3.7,0.409,0.368,0.085,0.4,0.11,6.3,0,3.1,1.1,2.7,0.437,0.271,0.632,0.187,0.581,0.879,2.7,6.1,16.2,34.9,0.504,0.7,1.6,1,10.4,26,4.8,16.6,2016-17,0.481,16.5,0.6,7,0.235,8.5,8.8,0.562,4.1,0.476,5,7.2,2.3,15,11.6,5.8,NBA,19.4,105,3.6,6,14,6.3,2.7,Paul George,4.5,2.1,0.109,7.4,0.024,0.267,10.1,0
548,1,0.4,15.3,10.2,0.837,16.5,0.319,21,0.262,2.5,SG,-0.3,0.2,3.7,0.241,13.4,0.7,0,0.48,3.8,0.338,9.7,712,6.7,94,1.2,IND,10.1,3.6,0.346,0.241,0.138,0.5,0.016,3.4,0,1,0.1,1.9,0.441,0.221,0.759,0.319,0.667,0.933,1.9,2.1,16.7,32.4,0.479,0.5,0.2,1.4,5.3,31,5.6,13.5,2016-17,0.278,8.9,0.8,4.9,0.267,3.2,5.1,0.521,1.6,0.519,3.2,3.9,-2.2,22,5.9,2.5,NBA,11.2,109,0.5,1,20.5,2.9,2.4,Monta Ellis,2,-2.6,0.092,3.5,0.005,0.267,5.9,0
550,0,1,10.5,14,1,13.9,,0,0.25,0,PF,0,0,0.3,0,14,0,0,0.25,0,0,9.2,14,1.3,94,0,IND,1,3.5,0,0,0.25,0.3,0.021,0.7,0,0,0.3,0,0.25,0.25,1,,1,,0,0,9.7,4.7,0.25,0,3.5,6.1,10.5,25,3.5,11.5,2016-17,0,1.3,3.5,3.5,,0,7,0.338,0.3,0,0.3,0.3,-4.7,3,11.7,3.5,NBA,15.4,109,7.9,0,0,3.5,0.3,Rakeem Christmas,0.3,-5.7,0.25,1,0,0.25,3.5,0
556,0,1.1,6,8.3,0.667,8.9,0,0,0.264,0.3,PF,0,0.2,1.2,0.019,8.4,0,0,0.327,1.1,0.765,7.2,307,2.5,98,0.3,IND,1.8,4.5,0.227,0.019,0.264,0.3,0.028,1.5,0,0,1.3,1.1,0.321,0.113,0.981,0,0.357,,1.1,0,10.8,14.6,0.321,0.2,4.3,1.9,9.4,27,4,10.5,2016-17,0,2.5,1.1,2.7,,0.2,5.1,0.341,0.2,0.5,0.8,0.8,-2.2,21,10.5,0.6,NBA,11.2,110,9.7,0,11.2,1,1.3,Lavoy Allen,0.3,-3.4,0.038,2.8,0.019,0.415,2.7,0
562,3,0.7,22.3,13.5,0.824,20.4,0.352,24,0.088,1,SF,0.6,1.6,2,0.341,20.5,1.5,0.7,0.483,1.7,0.316,13.7,766,8.5,105,0.8,DET,14,3.1,0.517,0.341,0.078,0.4,0.098,3.3,0,2.5,0.8,1.3,0.438,0.11,0.659,0.171,0.63,0.892,1.3,4.4,9.5,31.9,0.498,1,1.3,1,6.6,27,3.1,17.8,2016-17,0.397,12.8,0.6,6.5,0.5,7,5.3,0.519,1.2,0.417,4.1,5.6,1.3,24,7.1,1.9,NBA,11.2,105,2.8,3,7.2,2.3,2,Marcus Morris,1.4,0.6,0.205,4.2,0.01,0.289,9,0
569,1,-2.8,34.4,11,1,23.4,0.5,0,0.071,0.3,SG,0.3,0.4,0.8,0.5,21.9,1.8,0.1,0.429,0.8,1,24.9,65,3.5,136,1,ORL,11,4.7,0.5,0.5,0.179,0,0.287,0.8,0,5.5,0.3,3.1,0.464,0.393,0.5,0.071,0.5,0.857,3.1,3.5,8.6,16.3,0.589,0.1,0.8,0,3.1,29,2.3,19.5,2016-17,0.333,7,0,4.7,0,11,2.3,0.67,2.8,0.4,1.5,3.3,3.5,4,3.3,8.6,NBA,5,105,1.6,0,3,8.6,1.5,Jodie Meeks,2.8,6.3,0.107,1,0,0.143,10.2,0
571,0,2.4,13.1,7.7,0.647,13.9,0.304,0,0.127,0.6,SF,-0.1,0.4,0.8,0.365,12.2,0.4,0.1,0.45,2.1,0.389,8.9,264,2,96,0.4,DET,3.4,4.8,0.375,0.365,0.19,0.4,0.067,1.8,0,1.4,0.4,1.5,0.397,0.27,0.635,0.174,0.625,0.857,1.5,1.2,8.4,13.2,0.452,0.4,1.4,2.2,8.3,20,3.1,15.8,2016-17,0.5,3.2,1.4,3.5,0.5,4.4,6.9,0.482,0.6,0.333,0.9,1.3,-0.5,20,8.8,2.1,NBA,14.7,102,2.9,0,13.5,3.3,1.3,Stanley Johnson,0.9,-2.9,0.19,2.2,0,0.127,4.8,0
577,0,-0.8,26.6,16,0.8,29.7,0.417,3,0.273,3,PG,-0.1,0,4.3,0.364,25.1,1.7,0,0.381,6.8,0.125,12.4,67,7,91,0.7,DET,11.7,4.6,0.4,0.364,0.121,0.3,0,2.3,0,3.8,0,1.5,0.394,0.152,0.636,0.25,0.444,0.4,1.5,4,31,22.3,0.47,0.1,0,1.2,5.3,26,9.9,14.2,2016-17,0.333,11,0.8,6.1,0,9.1,5.3,0.497,1.3,0.25,2.7,4.3,-2.6,3,5.6,3,NBA,11.2,104,0,0,20.4,3.8,2,Reggie Jackson,1.7,-1.8,0.091,2.3,0,0.152,9.9,0
579,0,-0.4,18.9,10.9,0.733,20.1,0.333,0,0.118,0.8,SG,-0.1,0.1,0.9,0.353,16.9,0.4,-0.1,0.424,3.6,0.214,7.7,154,2.4,92,0.4,DET,4.1,6.9,0.308,0.353,0.137,0.1,0.024,0.8,0,2,0.1,1.7,0.392,0.294,0.647,0.389,0.667,0.833,1.7,1.3,12.2,11,0.451,0.2,0.3,0.5,4,23,4.3,16.4,2016-17,0.429,3.6,0.3,4.6,0.286,6,3.6,0.495,0.8,0.429,1,1.4,-3.6,14,4.2,3.6,NBA,7.7,105,0.7,0,16,5,1.5,Darrun Hilliard,1.1,-3.1,0.137,0.9,0,0.255,6.6,0
586,0,4,25.2,20.5,0.452,23.7,1,23,0.498,1.9,C,0.7,2.5,1.3,0.004,20.5,0,0.9,0.533,3.2,0.658,22.8,682,11.9,105,1.6,DET,14.7,4.3,0,0.004,0.422,1.2,0.176,9.8,0,0.1,3.5,2.7,0.535,0.338,0.996,0,0.701,0,2.7,0,7.3,29.7,0.536,1.8,6,3.3,22.8,23,2.2,4,2016-17,0.579,12,2.1,10.9,,0.1,16.8,0.533,1.8,0.336,6.3,6.4,3.1,23,24.2,3.1,NBA,35.5,93,12.7,39,12,6.9,2.5,Andre Drummond,4,-1,0.069,13.3,0.153,0.007,11,0
592,2,0.7,22.2,11.2,0.814,20.1,0.375,24,0.198,1.1,SG,1.1,2.1,3,0.422,19.3,2,1.1,0.446,1.7,0.551,15.2,798,7.3,110,1.2,DET,14.5,2.7,0.441,0.422,0.099,0.1,0.127,2.6,0,3.1,1,1.9,0.416,0.195,0.578,0.219,0.567,0.771,1.9,5.3,13.8,33.3,0.495,1,1.6,0.3,5.6,23,4.7,16.4,2016-17,0.346,12.6,0.2,5,0.571,8.2,4,0.529,2,0.3,3.3,5.3,3.2,24,5.9,3.1,NBA,8.3,105,3.4,8,7.6,3.8,1.8,Kentavious Caldwell-Pope,2.5,2.5,0.086,3.6,0.026,0.195,8,0
596,0,0.4,19.4,10.9,,18.2,0.286,0,0.063,0.3,SF,0,0.1,0.3,0.438,19.4,0.5,0,0.556,1.2,0.8,14.6,42,2.3,104,0.3,DET,4,0,0.5,0.438,0.125,0.5,0.092,0.5,0,2.4,0.8,1.2,0.438,0,0.563,0.429,1,1,1.2,1.8,3.6,10.5,0.5,0.1,3.6,3.9,6.1,25,1.2,18.1,2016-17,0.5,4,2.4,6.1,0,8.5,2.4,0.5,0,0.5,1.3,1.8,0,4,6.4,0,NBA,5.1,104,7.8,0,5.9,0,0,Reggie Bullock,0,-0.4,0.125,1.3,0,0.25,8.5,0
607,0,2.1,14.1,11.3,0.872,14.9,,1,0.489,1.1,C,-0.1,0.6,0.4,0,11.3,0,-0.1,0.432,3.3,0.737,9.6,396,3.7,97,0.4,DET,4.6,6.6,0.3,0,0.261,0.4,0.077,3.3,0,0,1.1,1.3,0.432,0.443,1,,0.535,,1.3,0,3.1,16.5,0.432,0.7,3.3,2.1,13.6,30,1.2,5.8,2016-17,0.417,3.7,1.3,4.9,,0,10.3,0.523,1.4,0.304,1.6,1.6,-2.7,24,14.5,4.4,NBA,21.7,101,7.1,7,19.8,5,2.1,Aron Baynes,1.6,-4.8,0.136,4.4,0.08,0.114,4.9,0
