,fg3a_heave,dbpm,pts_per_poss,fg2a_per_poss,ft_pct,usg_pct,fg3_pct,gs,pct_fga_00_03,tov_per_g,pos,ows,ws,ast_per_g,fg3a_pct_fga,fga_per_poss,fg3_per_g,vorp,fg2_pct,tov_per_poss,fg2_pct_ast,per,mp,fg2a_per_g,off_rtg,stl_per_g,team_id,pts_per_g,pf_per_poss,fg_pct_16_xx,fg3a_per_fga_pct,pct_fga_03_10,blk_per_g,ws_per_48,drb_per_g,fg3_heave,fg3_per_poss,orb_per_g,stl_per_poss,fg_pct,fta_per_fga_pct,fg2a_pct_fga,pct_fg3a_corner,fg_pct_00_03,fg3_pct_ast,stl_pct,fg3a_per_g,ast_pct,mp_per_g,efg_pct,dws,orb_per_poss,blk_pct,trb_per_poss,age,ast_per_poss,avg_dist,year,fg_pct_10_16,fga_per_g,blk_per_poss,fg2_per_poss,fg3_pct_corner,fg3a_per_poss,drb_per_poss,ts_pct,ft_per_g,fg_pct_03_10,fg2_per_g,fg_per_g,bpm,g,trb_pct,ft_per_poss,lg_id,drb_pct,def_rtg,orb_pct,fg2_dunk,tov_pct,fta_per_poss,pf_per_g,name,fta_per_g,obpm,pct_fga_10_16,trb_per_g,pct_fg2_dunk,pct_fga_16_xx,fg_per_poss,allstar
128,1,-3.1,25.2,18.5,0.727,26.2,0.214,0,0.2,0.1,PG,0,0.1,0.7,0.28,25.7,0.2,-0.1,0.444,1,0.25,14.3,95,2.4,97,0.3,IND,3.3,2.1,0.375,0.28,0.08,0,0.031,0.8,0,1.5,0.1,2.1,0.38,0.22,0.72,0.143,0.6,0.667,2.1,0.9,17.3,6.3,0.41,0.1,0.5,0,6.7,24,5.1,15.8,2016-17,0.167,3.3,0,8.2,0,7.2,6.2,0.447,0.5,0.75,1.1,1.3,-4.8,15,7.5,4.1,NBA,13.6,109,1.2,2,3.5,5.7,0.3,Joe Young,0.7,-1.7,0.12,0.9,0.04,0.32,9.8,0
132,0,2,20.6,13.4,0.636,16.7,,17,0.597,0.8,PF,1.1,1.9,1.2,0,13.4,0,0.5,0.581,1.6,0.773,17.2,477,6.8,122,0.5,CHO,10.5,6.4,0.333,0,0.256,1.2,0.188,4.1,0,0,1.7,0.9,0.581,0.597,1,,0.623,,0.9,0,7.9,25.1,0.581,0.7,3.4,3.8,11.5,24,2.4,4.9,2016-17,0.75,6.8,2.3,7.8,,0,8.1,0.611,2.6,0.576,3.9,3.9,1.8,19,12.4,5.1,NBA,17,103,7.5,18,8.4,8,3.3,Cody Zeller,4.1,-0.2,0.031,5.8,0.14,0.116,7.8,0
137,0,1.4,17.5,15.5,0.591,17,,5,0.5,0.5,C,0.4,0.7,1,0,15.5,0,0.1,0.489,1.8,0.837,15.2,283,4.2,110,0.2,BOS,4.7,5.8,0.48,0,0.193,0.7,0.114,2.2,0,0,1.3,0.9,0.489,0.25,1,,0.591,,0.9,0,11.2,13.5,0.489,0.3,4.8,4.4,12.9,27,3.7,7.6,2016-17,0,4.2,2.6,7.6,,0,8.1,0.507,0.6,0.294,2,2,-0.8,21,14,2.3,NBA,17.7,106,10.4,6,9.3,3.9,1.6,Tyler Zeller,1,-2.2,0.023,3.5,0.068,0.284,7.6,0
144,0,0.4,23.6,13.8,0.85,23.5,0.275,22,0.263,2.6,PG,1,1.7,6.8,0.259,18.7,0.9,0.7,0.467,4.1,0.109,19,696,9,107,2,IND,15.3,3.8,0.625,0.259,0.301,0.6,0.12,3.3,0,1.3,0.5,3.1,0.417,0.425,0.741,0.058,0.514,0.737,3.1,3.1,33.2,31.6,0.453,0.8,0.8,1.6,5.9,28,10.5,11.4,2016-17,0.478,12.1,0.9,6.5,0,4.8,5.1,0.534,4.4,0.375,4.2,5,2.2,22,6.6,6.7,NBA,11.3,106,1.7,2,15.5,7.9,2.5,Jeff Teague,5.1,1.8,0.086,3.8,0.008,0.09,7.8,0
146,0,0.4,16.5,15.5,0.737,20.3,0.222,9,0.36,1.6,SF,-0.4,-0.1,4,0.216,19.8,0.7,0,0.367,2.2,0.389,8.7,323,10.9,89,1.6,MIA,11.6,4.6,0.32,0.216,0.184,0.3,-0.008,3.4,0,0.9,1.2,2.2,0.336,0.152,0.784,0.63,0.444,1,2.2,3,17.5,35.9,0.36,0.3,1.7,0.7,6.6,20,5.7,11.4,2016-17,0.167,13.9,0.5,5.7,0.294,4.3,4.9,0.39,1.6,0.304,4,4.7,-2.6,9,7,2.2,NBA,10.6,107,3.6,6,9.5,3,3.2,Justise Winslow,2.1,-3,0.048,4.7,0.064,0.2,6.6,0
148,0,-2.7,16.3,15.6,0.8,21.7,0,0,0.36,0.9,PG,-0.1,-0.1,1.9,0.08,16.9,0,-0.1,0.348,4.7,0,6.9,73,2.9,90,0,CLE,3,4.1,0.429,0.08,0.08,0.1,-0.04,0.9,0,0,0.1,0,0.32,0.4,0.92,0.5,0.333,,0,0.3,29.3,9.1,0.32,0,0.7,1.1,5.4,21,10.2,10.4,2016-17,0.4,3.1,0.7,5.4,0,1.4,4.7,0.408,1,0,1,1,-9.2,8,6,5.4,NBA,10.1,113,1.6,0,19.2,6.8,0.8,Kay Felder,1.3,-6.5,0.2,1,0,0.28,5.4,0
149,0,-1.8,25.8,12,0.704,27.2,0.35,0,0.195,1.8,PG,-0.2,0,2.1,0.46,22.2,1.3,-0.1,0.426,5.1,0.3,11.8,204,4.3,93,0.7,DAL,9.2,4.3,0.353,0.46,0.057,0,-0.006,1.8,0,3.6,0.1,2,0.391,0.31,0.54,0.05,0.412,0.786,2,3.6,20.9,18.5,0.471,0.2,0.3,0,5.4,29,5.9,17.3,2016-17,0.625,7.9,0,5.1,0.5,10.2,5.1,0.511,1.7,0.4,1.8,3.1,-3.6,11,5.9,4.8,NBA,12.1,109,0.5,0,16.8,6.9,1.5,Jonathan Gibson,2.5,-1.8,0.092,1.9,0,0.195,8.7,0
155,0,0.1,9.1,13.7,,15.9,0,0,0.25,0,PG,0,0,0.2,0.25,18.3,0,0,0.333,0,0,9.4,11,0.6,70,0.4,MIN,0.4,0,,0.25,0,0,-0.031,0,0,0,0,9.1,0.25,0,0.75,0,1,,9.1,0.2,13,2.2,0.25,0,0,0,0,34,4.6,13,2016-17,0,0.8,0,4.6,,4.6,0,0.25,0,,0.2,0.2,-5.3,5,0,0,NBA,0,100,0,0,0,0,0,John Lucas III,0,-5.4,0.5,0,0,0,4.6,0
156,0,0.9,11.9,8.9,0.645,14.3,0.4,5,0.298,1.4,PG,-0.1,0.2,2.9,0.179,10.9,0.3,0,0.391,3.9,0.222,9.9,389,3.1,95,1.2,MIN,4.2,6.6,0.304,0.179,0.155,0.3,0.028,1.8,0,0.8,0.4,3.4,0.393,0.369,0.821,0.267,0.56,0.333,3.4,0.7,22.9,17.7,0.429,0.3,1,1.6,6.1,22,8.1,12.3,2016-17,0.125,3.8,0.9,3.5,0.25,1.9,5,0.471,0.9,0.385,1.2,1.5,-1.7,22,7,2.6,NBA,12.1,108,2.3,1,23.5,4,2.3,Kris Dunn,1.4,-2.6,0.095,2.1,0.012,0.274,4.3,0
157,0,1.9,12.8,3.5,0.857,12.7,0.313,0,0.125,0.3,SF,0.1,0.3,1,0.667,10.6,0.3,0.1,0.5,2.2,0.75,13.8,118,0.5,112,0.4,DAL,1.8,4.4,0.4,0.667,0,0.2,0.117,0.9,0,2.2,0.3,2.6,0.375,0.292,0.333,0.063,0.667,1,2.6,1,21.6,7.4,0.479,0.1,1.8,2.3,7.9,23,7.1,21.2,2016-17,,1.5,1.3,1.8,1,7.1,6.2,0.535,0.4,,0.3,0.6,0.8,16,8.7,2.6,NBA,14.7,105,3.6,0,15.6,3.1,0.6,Nicolas Brussino,0.4,-1.1,0,1.1,0.042,0.208,4,0
