,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP,id
440,2009,13,IND,Tyler Hansbrough,University of North Carolina,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2.5,-1.0,T200913
441,2009,14,PHO,Earl Clark,University of Louisville,6,261,3630,1138,778,134,0.40299999999999997,0.32799999999999996,0.664,13.9,4.4,3.0,0.5,2.9,0.038,-3.6,-1.5,E200914
442,2009,15,DET,Austin Daye,Gonzaga University,6,293,4132,1522,764,212,0.402,0.35100000000000003,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2.6,-0.6,A200915
443,2009,16,CHI,James Johnson,Wake Forest University,7,398,7270,2594,1256,590,0.47600000000000003,0.266,0.688,18.3,6.5,3.2,1.5,11.9,0.079,0.8,5.2,J200916
444,2009,17,PHI,Jrue Holiday,"University of California, Los Angeles",7,437,14067,6162,1536,2659,0.439,0.368,0.8009999999999999,32.2,14.1,3.5,6.1,22.7,0.078,0.8,10.0,J200917
445,2009,18,MIN,Ty Lawson,University of North Carolina,7,482,14356,6296,1327,2982,0.461,0.366,0.7659999999999999,29.8,13.1,2.8,6.2,38.9,0.13,0.9,10.6,T200918
446,2009,19,ATL,Jeff Teague,Wake Forest University,7,518,13518,6291,1114,2671,0.44799999999999995,0.355,0.838,26.1,12.1,2.2,5.2,33.1,0.11800000000000001,-0.2,6.2,J200919
447,2009,20,UTA,Eric Maynor,Virginia Commonwealth University,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.040999999999999995,-4.7,-2.7,E200920
448,2009,21,NOH,Darren Collison,"University of California, Los Angeles",7,495,14572,6249,1323,2404,0.46799999999999997,0.374,0.851,29.4,12.6,2.7,4.9,31.6,0.10400000000000001,-0.1,6.9,D200921
449,2009,22,POR,Victor Claver,,3,80,1072,258,178,56,0.39799999999999996,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011000000000000001,-3.3,-0.4,V200922
450,2009,23,SAC,Omri Casspi,,7,463,10056,3930,1928,548,0.442,0.368,0.677,21.7,8.5,4.2,1.2,15.6,0.07400000000000001,-1.4,1.6,O200923
451,2009,24,DAL,Byron Mullens,Ohio State University,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4.6,-2.3,B200924
452,2009,25,OKC,Rodrigue Beaubois,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4,R200925
453,2009,26,CHI,Taj Gibson,University of Southern California,7,507,12668,4641,3204,504,0.491,0.045,0.6920000000000001,25.0,9.2,6.3,1.0,33.6,0.127,0.1,6.6,T200926
454,2009,27,MEM,DeMarre Carroll,University of Missouri,7,342,7620,2698,1296,395,0.45299999999999996,0.369,0.721,22.3,7.9,3.8,1.2,18.2,0.115,1.3,6.3,D200927
455,2009,28,MIN,Wayne Ellington,University of North Carolina,7,453,8882,3221,959,490,0.41100000000000003,0.376,0.848,19.6,7.1,2.1,1.1,7.4,0.04,-3.1,-2.5,W200928
456,2009,29,LAL,Toney Douglas,Florida State University,7,370,7117,2892,814,833,0.406,0.36,0.8240000000000001,19.2,7.8,2.2,2.3,11.6,0.078,-0.6,2.5,T200929
457,2009,30,CLE,Christian Eyenga,,2,51,1049,320,137,40,0.41100000000000003,0.27699999999999997,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.0,-0.5,C200930
460,2009,31,SAC,Jeff Pendergraph,Arizona State University,6,237,2322,690,632,99,0.5529999999999999,0.4,0.7759999999999999,9.8,2.9,2.7,0.4,6.3,0.131,-1.4,0.4,J200931
461,2009,32,WAS,Jermaine Taylor,University of Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.013999999999999999,-4.6,-0.5,J200932
462,2009,33,POR,Dante Cunningham,Villanova University,7,512,10736,3087,1913,371,0.469,0.26899999999999996,0.653,21.0,6.0,3.7,0.7,17.6,0.079,-1.1,2.4,D200933
463,2009,34,DEN,Sergio Llull,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S200934
464,2009,35,DET,DaJuan Summers,Georgetown University,4,83,820,278,82,29,0.384,0.36700000000000005,0.642,9.9,3.3,1.0,0.3,-0.1,-0.008,-6.4,-0.9,D200935
465,2009,36,MEM,Sam Young,University of Pittsburgh,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.9,-0.9,S200936
466,2009,37,SAS,DeJuan Blair,University of Pittsburgh,7,424,7054,2865,2153,349,0.524,0.0,0.608,16.6,6.8,5.1,0.8,19.0,0.129,0.4,4.2,D200937
467,2009,38,POR,Jon Brockman,University of Washington,3,150,1570,320,472,49,0.488,0.0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-2.1,0.0,J200938
468,2009,39,DET,Jonas Jerebko,,6,410,7739,2732,1716,316,0.45799999999999996,0.353,0.7659999999999999,18.9,6.7,4.2,0.8,17.0,0.105,-0.8,2.4,J200939
469,2009,40,CHA,Derrick Brown,Xavier University,3,171,2554,895,413,119,0.515,0.317,0.637,14.9,5.2,2.4,0.7,4.5,0.085,-1.6,0.2,D200940
470,2009,41,MIL,Jodie Meeks,University of Kentucky,7,418,10149,4123,905,460,0.42200000000000004,0.373,0.882,24.3,9.9,2.2,1.1,20.8,0.098,-0.3,4.4,J200941
471,2009,42,LAL,Patrick Beverley,University of Arkansas,4,224,6232,2069,792,699,0.41200000000000003,0.373,0.763,27.8,9.2,3.5,3.1,14.3,0.11,1.7,5.8,P200942
472,2009,43,MIA,Marcus Thornton,Louisiana State University,7,450,10724,5531,1272,636,0.426,0.359,0.8290000000000001,23.8,12.3,2.8,1.4,19.5,0.087,-0.7,3.6,M200943
473,2009,44,DET,Chase Budinger,University of Arizona,7,407,7998,3198,1240,473,0.43,0.35200000000000004,0.797,19.7,7.9,3.0,1.2,13.9,0.083,-1.4,1.2,C200944
474,2009,45,MIN,Nick Calathes,University of Florida,2,129,2011,590,243,353,0.441,0.28800000000000003,0.581,15.6,4.6,1.9,2.7,2.6,0.063,-0.7,0.6,N200945
475,2009,46,CLE,Danny Green,University of North Carolina,7,402,9954,3658,1379,637,0.428,0.40299999999999997,0.8190000000000001,24.8,9.1,3.4,1.6,27.0,0.13,3.5,13.7,D200946
476,2009,47,MIN,Henk Norel,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,H200947
477,2009,48,PHO,Taylor Griffin,University of Oklahoma,1,8,32,10,2,1,0.4,0.0,0.5,4.0,1.3,0.3,0.1,0.0,-0.039,-7.3,0.0,T200948
478,2009,49,ATL,Sergiy Gladyr,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S200949
479,2009,50,UTA,Goran Suton,Michigan State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G200950
480,2009,51,SAS,Jack McClinton,University of Miami,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J200951
481,2009,52,IND,A.J. Price,University of Connecticut,6,261,3929,1523,377,567,0.38,0.316,0.742,15.1,5.8,1.4,2.2,4.7,0.057999999999999996,-2.4,-0.4,A200952
482,2009,53,SAS,Nando De Colo,,2,119,1414,453,211,203,0.429,0.363,0.835,11.9,3.8,1.8,1.7,2.4,0.081,-0.8,0.4,N200953
483,2009,54,CHA,Robert Vaden,University of Alabama at Birmingham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R200954
484,2009,55,POR,Patrick Mills,Saint Mary's College of California,7,361,5728,2705,533,677,0.436,0.389,0.836,15.9,7.5,1.5,1.9,14.9,0.125,0.8,4.0,P200955
485,2009,56,DAL,Ahmad Nivins,Saint Joseph's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A200956
486,2009,57,PHO,Emir Preldzic,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E200957
487,2009,58,BOS,Lester Hudson,University of Tennessee at Martin,4,57,594,268,77,71,0.375,0.27699999999999997,0.8059999999999999,10.4,4.7,1.4,1.2,0.2,0.016,-2.7,-0.1,L200958
488,2009,59,LAL,Chinemelu Elonu,Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C200959
489,2009,60,MIA,Robert Dozier,University of Memphis,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,R200960
490,2010,1,WAS,John Wall,University of Kentucky,6,422,15195,7614,1891,3779,0.429,0.319,0.789,36.0,18.0,4.5,9.0,31.7,0.1,2.2,16.0,J20101
491,2010,2,PHI,Evan Turner,Ohio State University,6,469,13390,5033,2421,1763,0.43200000000000005,0.305,0.777,28.6,10.7,5.2,3.8,14.7,0.053,-2.0,0.1,E20102
492,2010,3,NJN,Derrick Favors,Georgia Institute of Technology,6,429,11162,5003,3130,454,0.512,0.063,0.6679999999999999,26.0,11.7,7.3,1.1,30.8,0.133,0.9,8.1,D20103
493,2010,4,MIN,Wesley Johnson,Syracuse University,6,429,10642,3518,1455,538,0.408,0.344,0.747,24.8,8.2,3.4,1.3,8.2,0.037000000000000005,-1.2,2.2,W20104
494,2010,5,SAC,DeMarcus Cousins,University of Kentucky,6,415,13105,8366,4473,1136,0.46,0.29,0.728,31.6,20.2,10.8,2.7,29.3,0.107,1.9,12.8,D20105
495,2010,6,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,0.429,0.0,0.72,16.9,4.0,3.2,0.7,5.7,0.06,-1.1,1.0,E20106
496,2010,7,DET,Greg Monroe,Georgetown University,6,457,14132,6621,4175,1029,0.508,0.0,0.701,30.9,14.5,9.1,2.3,39.7,0.135,2.0,14.3,G20107
497,2010,8,LAC,Al-Farouq Aminu,Wake Forest University,6,459,10747,3234,2497,540,0.43200000000000005,0.322,0.7290000000000001,23.4,7.0,5.4,1.2,15.5,0.069,-0.2,4.8,A20108
498,2010,9,UTA,Gordon Hayward,Butler University,6,443,13648,6476,1755,1510,0.43799999999999994,0.36,0.815,30.8,14.6,4.0,3.4,32.6,0.115,1.6,12.4,G20109
499,2010,10,IND,Paul George,"California State University, Fresno",6,373,12003,6315,2324,1168,0.425,0.364,0.838,32.2,16.9,6.2,3.1,37.4,0.15,4.0,18.1,P201010
500,2010,11,NOH,Cole Aldrich,University of Kansas,6,256,2809,933,958,155,0.532,0.0,0.755,11.0,3.6,3.7,0.6,8.3,0.141,1.3,2.3,C201011
501,2010,12,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013000000000000001,-5.1,-2.3,X201012
502,2010,13,TOR,Ed Davis,University of North Carolina,6,435,9247,3078,2819,372,0.564,0.0,0.564,21.3,7.1,6.5,0.9,28.8,0.15,1.4,7.9,E201013
503,2010,14,HOU,Patrick Patterson,University of Kentucky,6,412,9835,3301,1940,502,0.467,0.36700000000000005,0.7490000000000001,23.9,8.0,4.7,1.2,21.7,0.106,0.7,6.7,P201014
504,2010,15,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,0.48,0.0,0.55,19.8,6.5,5.8,0.7,10.3,0.107,0.6,3.1,L201015
