,0,1,2,3
73,Marcus Smart,-15.744786815355665,-8.0315097173501862,-5.4896502842159514
74,Isaiah Thomas,22.704168267972339,-13.627646308878862,0.71197525917035975
75,Kelly Olynyk,-9.0570112455619292,-1.2132675901388326,3.055367781392341
76,Avery Bradley,-13.279818453122388,-5.3519525519185187,4.246187674549236
77,Andre Drummond,0.075524307801463936,16.322174798812188,15.349741619840477
78,Ish Smith,-15.388980301119675,-23.058309194053983,5.0854008377582423
79,Jon Leuer,-13.183275253431962,4.3977316110816833,1.962120928502441
80,Reggie Jackson,2.7072356086393472,-16.951886193734374,4.4880104425905953
81,Tobias Harris,-2.0252761598877611,2.2290398736953048,5.9070785060841349
82,Aron Baynes,-12.694724156109126,11.072820394621727,4.3163577739944659
