name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Kyrie Irving,0.3,2.7,20.8,0.481,5.5,316,2.2,1.8,4.5,0.452,34,4.7,0.505,2.8,3.9,0.866,1.3,0.378,5.8,316,12.1,3.4,0.7,7.6,16.8
J.R. Smith,0.2,2.7,13.1,0.466,2.2,302,2.3,2,2.3,0.422,26.9,5.4,0.512,1.4,1.7,0.734,1,0.375,2.7,846,5.8,3.2,0.5,4.7,11.2
LeBron James,0.8,6,27.2,0.538,6.9,993,1.9,1.4,8.3,0.498,39,4,0.532,3.4,6.2,0.744,1.7,0.339,8.4,994,15.7,7.2,1.2,9.8,19.7
Archie Goodwin,0.2,1.5,6.2,0.474,1.2,15,1.2,0.3,2.2,0.419,14.5,1.2,0.444,1.3,1.5,0.689,0.4,0.227,1.9,150,4.1,2,0.5,2.2,5.3
Quincy Acy,0.4,2.4,4.5,0.529,0.6,51,1.9,0.2,1.2,0.494,15.2,0.6,0.521,0.6,0.9,0.752,0.4,0.323,1.5,224,2.9,3.5,1.1,1.7,3.5
John Lucas III,0,0.8,4.8,0.409,1.5,8,0.8,0.7,0.4,0.383,12.2,2,0.452,0.5,0.3,0.768,0.4,0.344,1.2,239,3,1,0.2,1.9,5
Ty Lawson,0.1,2.1,12.9,0.49,6.2,328,1.6,0.9,3.6,0.459,29.8,2.5,0.504,2.1,2.7,0.765,1.2,0.364,3.7,491,7.6,2.8,0.6,4.6,10.1
Troy Williams,0.2,0.2,3.4,0.571,0.4,1,1.4,0.2,1.8,0.455,9.8,0.8,0.5,0.6,1.2,0.667,0.8,0.25,0.8,5,1.4,0.4,0.2,1,2.2
Metta World Peace,0.5,3.4,13.4,0.447,2.7,838,2.7,1.2,3.7,0.415,32.3,3.5,0.466,1.8,2.6,0.715,1.8,0.34,3.6,970,8.1,4.6,1.2,4.8,11.5
Nicolas Laprovittola,0,0.9,3.6,0.5,1.7,0,1.1,0.6,0.7,0.381,11.7,1.9,0.476,1.1,0.7,1,0.1,0.308,0.6,7,1.1,1,0.1,1.1,3
Semaj Christon,0.1,1.4,4.1,0.4,2.9,0,1.5,0.1,0.6,0.366,17.1,0.8,0.378,0.9,0.3,0.4,0.5,0.167,1.8,8,4.4,1.9,0.5,1.9,5.1
JaVale McGee,1.7,3.3,8.1,0.543,0.3,160,2.3,0,2.2,0.542,19,0,0.543,1,1.3,0.581,0.4,0.167,3.4,421,6.3,5.3,2,3.4,6.3
Alan Anderson,0.1,1.8,7.8,0.457,1.2,66,1.9,1.1,1.6,0.406,21.6,3.1,0.485,0.9,1.3,0.818,0.6,0.345,1.6,301,3.6,2.3,0.5,2.7,6.7
Jerryd Bayless,0.1,1.8,8.5,0.437,2.9,81,2.1,0.8,2.2,0.415,21.2,2.2,0.472,1.4,1.8,0.825,0.6,0.365,2.2,510,4.9,2.1,0.3,3,7.2
Dion Waiters,0.2,2.1,12.8,0.437,2.5,116,2,1.1,2.7,0.409,28.4,3.2,0.455,1.8,1.9,0.704,1,0.335,3.8,295,8.7,2.6,0.5,4.9,12
Damjan Rudez,0.1,0.5,3.9,0.542,0.6,2,1.1,0.8,0.3,0.44,13,2.1,0.572,0.6,0.2,0.774,0.2,0.391,0.6,103,1,0.7,0.1,1.4,3.2
Joe Harris,0.1,0.9,3.2,0.54,0.6,1,1.3,0.7,0.3,0.405,10.8,2,0.518,0.6,0.2,0.556,0.2,0.339,0.5,64,1,1.1,0.1,1.2,3
Ron Baker,0,0.5,4.5,0.25,1,0,0.5,1,1,0.375,11.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,1,0.5,1.5,4
Tyler Zeller,0.6,3.1,7.6,0.503,1,130,2.4,0,2,0.501,19.1,0,0.501,0.9,1.5,0.779,0.3,0,3.1,296,6.1,4.7,1.6,3.1,6.1
Kevin Seraphin,0.8,2.3,6.1,0.485,0.6,31,2.2,0,0.9,0.484,15.6,0,0.484,1.1,0.6,0.716,0.2,0,2.7,380,5.6,3.5,1.2,2.7,5.6
Beno Udrih,0.1,1.7,8.5,0.495,3.4,272,1.6,0.6,1.5,0.462,22.2,1.6,0.501,1.4,1.2,0.83,0.7,0.349,2.8,800,5.6,2.1,0.4,3.3,7.2
R.J. Hunter,0.1,1,2.7,0.486,0.4,0,0.8,0.5,0.2,0.367,8.8,1.8,0.464,0.3,0.2,0.857,0.4,0.302,0.5,36,1,1,0.1,1,2.7
Steve Novak,0.1,1.1,4.7,0.462,0.3,6,0.8,1.2,0.2,0.438,12.3,2.9,0.605,0.2,0.2,0.877,0.2,0.431,0.4,460,0.8,1.3,0.1,1.6,3.7
Ryan Kelly,0.5,2.8,6.5,0.422,1.4,59,2.1,0.7,1.9,0.381,20.4,2.1,0.44,0.7,1.5,0.796,0.5,0.313,1.5,148,3.5,3.3,0.5,2.1,5.6
Christian Wood,0.4,1.5,3.4,0.429,0.2,0,0.6,0.2,1.2,0.407,8.2,0.7,0.444,0.1,0.7,0.619,0.3,0.333,1,18,2.3,2.2,0.7,1.2,3
Brian Roberts,0.1,1.2,7,0.444,2.4,57,1.3,0.7,1.2,0.414,17.5,2.1,0.472,0.9,1.1,0.915,0.4,0.353,1.9,274,4.2,1.4,0.2,2.6,6.2
Marvin Williams,0.5,3.9,10.5,0.476,1.3,605,2.1,0.8,2.7,0.445,28.8,2.2,0.49,1,2.2,0.801,0.8,0.355,3,792,6.3,5.2,1.3,3.8,8.5
Roy Hibbert,1.8,4.1,10.4,0.464,1.4,575,3.2,0,2.8,0.463,25.6,0,0.463,1.6,2.1,0.753,0.4,0.25,4.1,616,8.9,6.5,2.4,4.1,8.9
Ramon Sessions,0.1,2.3,10.9,0.453,4.2,142,1.4,0.3,4.1,0.438,24.3,0.9,0.455,1.8,3.2,0.792,0.7,0.311,3.4,620,7.5,2.8,0.5,3.7,8.4
Nicolas Batum,0.7,4.1,11.7,0.516,3.4,505,1.9,1.6,2.1,0.441,31.4,4.5,0.527,1.8,1.7,0.836,0.9,0.359,2.6,558,5,5.2,1.1,4.2,9.5
Aaron Harrison,0,0.5,0.8,0.2,0.1,0,0.5,0.1,0.5,0.25,4.4,0.5,0.325,0.2,0.2,0.417,0.3,0.3,0.1,22,0.5,0.7,0.2,0.2,0.9
Marco Belinelli,0.1,1.8,9.5,0.457,1.6,216,1.5,1.3,1.7,0.424,23.1,3.5,0.506,1,1.4,0.823,0.6,0.379,2.1,577,4.6,2,0.2,3.4,8
Frank Kaminsky,0.5,3.3,7.7,0.47,1.3,3,1.6,0.9,1.8,0.416,21.2,2.6,0.481,0.8,1.3,0.725,0.5,0.332,1.9,86,4.1,4.1,0.8,2.8,6.7
Spencer Hawes,1,4.4,8.9,0.48,1.9,367,2.6,0.5,1.4,0.456,23.4,1.5,0.489,1.5,1,0.709,0.4,0.353,3.2,637,6.6,5.9,1.5,3.7,8.1
Jeremy Lamb,0.3,2.3,7.5,0.496,1.1,8,1.5,0.9,1,0.432,16.5,2.6,0.497,0.7,0.8,0.804,0.6,0.332,2,217,4.1,2.7,0.4,2.9,6.7
Cody Zeller,0.7,3.8,7.5,0.482,1.2,113,2.5,0,2.8,0.479,21.6,0.1,0.479,1,2.1,0.746,0.6,0.167,2.7,224,5.6,5.4,1.6,2.7,5.6
Kemba Walker,0.4,3.2,17.5,0.434,5.4,326,1.5,1.5,4.6,0.404,33.7,4.6,0.455,2.1,3.7,0.823,1.4,0.336,4.5,371,10.5,3.8,0.6,6.1,15
Michael Kidd-Gilchrist,0.8,4.4,9.1,0.472,1.2,205,2.1,0,3,0.468,26.4,0.1,0.469,1.1,2.1,0.692,0.7,0.214,3.4,209,7.3,6.2,1.8,3.5,7.4
Kris Humphries,0.6,3.7,6.8,0.472,0.7,199,1.9,0.1,2.1,0.465,18.1,0.2,0.47,0.9,1.4,0.698,0.4,0.273,2.6,751,5.5,5.5,1.8,2.7,5.7
Taurean Prince,0,1,1.5,0.667,0.5,0,0.5,0,0.5,0.5,5,0.3,0.5,0.5,0.5,1,0.3,0,0.5,4,0.8,1,0,0.5,1
Malcolm Delaney,0,1.6,6,0.419,3.6,0,1.4,0.6,1,0.409,17,1.6,0.466,1.3,0.9,0.875,0.3,0.385,1.6,8,3.9,1.8,0.1,2.3,5.5
Dwight Howard,2.1,9.1,17.8,0.585,1.5,887,3.3,0,8.9,0.582,35.3,0.1,0.582,3,5,0.567,1,0.093,6.4,888,10.9,12.7,3.5,6.4,10.9
Kent Bazemore,0.3,2.4,6.5,0.479,1.4,101,1.6,0.8,1.5,0.427,16.8,2.2,0.497,1.1,1,0.691,0.8,0.349,1.6,286,3.4,2.7,0.2,2.4,5.6
Paul Millsap,1,5.1,13.9,0.515,2.2,500,3.2,0.3,4.1,0.498,29.1,1,0.514,1.8,3,0.732,1.3,0.335,4.9,776,9.6,7.5,2.3,5.3,10.6
Mike Muscala,0.5,1.6,4.3,0.566,0.6,8,1.3,0.2,0.7,0.522,11.3,0.6,0.552,0.5,0.6,0.856,0.3,0.325,1.5,128,2.7,2.5,1,1.7,3.3
Tiago Splitter,0.6,3.4,8,0.559,1.2,153,2,0,2.7,0.557,19.4,0,0.557,1.1,1.9,0.696,0.6,0,3.1,347,5.5,5.1,1.6,3.1,5.5
Kyle Korver,0.3,2.8,10,0.46,1.8,403,2.2,2,1.3,0.442,26.5,4.6,0.568,1.1,1.1,0.879,0.7,0.43,1.5,971,3.2,3.1,0.3,3.4,7.8
Thabo Sefolosha,0.4,3.1,5.9,0.502,1.5,426,1.7,0.6,1.1,0.449,23.1,1.7,0.507,0.9,0.8,0.731,1.1,0.345,1.7,686,3.3,3.9,0.8,2.3,5
Tim Hardaway,0.1,1.6,9.7,0.482,1.2,32,1.5,1.5,1.7,0.414,21.9,4.2,0.503,0.8,1.4,0.817,0.4,0.348,2,210,4.1,1.8,0.2,3.4,8.3
Dennis Schroder,0.1,1.8,9.2,0.454,3.8,24,1.5,0.7,2,0.42,18.8,2.1,0.463,2,1.6,0.796,0.6,0.326,2.7,214,6,2.1,0.3,3.4,8.1
Mike Scott,0.1,2.3,7.4,0.53,0.9,7,1.3,0.7,1.2,0.466,15.7,2.1,0.526,0.7,1,0.784,0.3,0.345,2.1,263,4,3,0.8,2.8,6.1
Jared Sullinger,0.6,5.1,11.1,0.477,1.8,171,3,0.5,2.2,0.439,24.9,1.9,0.465,1.3,1.6,0.727,0.7,0.276,3.9,258,8.3,7.7,2.6,4.5,10.2
DeMar DeRozan,0.3,3.2,18.3,0.461,2.6,516,2.3,0.4,5.9,0.444,33.9,1.4,0.458,1.9,4.9,0.825,0.9,0.281,6.1,528,13.3,3.9,0.7,6.5,14.7
Norman Powell,0.2,1.9,5.4,0.457,1,24,1.2,0.7,1.1,0.431,14.4,1.8,0.508,0.6,0.9,0.783,0.6,0.392,1.3,55,2.7,2.2,0.3,1.9,4.5
Cory Joseph,0.2,1.6,6.1,0.49,2.3,47,1.3,0.2,1.6,0.459,17.9,0.8,0.482,0.9,1.2,0.766,0.6,0.294,2.1,291,4.3,2.1,0.5,2.3,5.1
DeMarre Carroll,0.2,2.6,7.9,0.497,1.1,193,2,0.9,1.6,0.45,22.3,2.3,0.516,0.7,1.1,0.72,1,0.367,2.1,349,4.2,3.8,1.2,2.9,6.5
Delon Wright,0.1,1.1,3.8,0.463,1.1,1,0.3,0.2,1.3,0.45,8.5,0.5,0.481,0.6,1,0.743,0.3,0.385,1.1,27,2.5,1.4,0.3,1.3,3
Terrence Ross,0.3,2.2,9.3,0.466,0.9,132,1.8,1.6,0.8,0.42,23.3,4.3,0.517,0.8,0.7,0.798,0.7,0.376,1.9,315,4,2.6,0.4,3.5,8.3
Jonas Valanciunas,1.1,5.6,11.4,0.555,0.7,282,2.9,0,3.3,0.555,26.3,0,0.555,1.5,2.6,0.776,0.3,0,4.4,288,7.9,8.3,2.6,4.4,7.9
Kyle Lowry,0.3,3.2,13.5,0.458,5.7,424,2.7,1.5,4.2,0.418,30.4,4.1,0.487,2.2,3.3,0.797,1.4,0.355,2.9,660,6.4,4,0.8,4.4,10.5
Patrick Patterson,0.6,3.2,8,0.508,1.2,65,1.9,0.8,0.8,0.464,24,2.1,0.519,0.8,0.6,0.747,0.6,0.362,2.5,419,5,4.7,1.5,3.3,7.1
Lucas Nogueira,0.4,1.2,2.4,0.649,0.2,1,1.2,0,0.6,0.633,8.1,0.1,0.642,0.4,0.3,0.524,0.5,0.333,1,37,1.5,1.9,0.7,1,1.6
Jason Terry,0.2,2.1,14.3,0.484,4.1,675,1.9,1.7,2.5,0.444,31,4.4,0.516,1.8,2.1,0.846,1.2,0.379,3.6,1288,7.4,2.4,0.4,5.2,11.8
Malcolm Brogdon,0.1,2.3,7.4,0.429,3,0,1.3,0.4,2.1,0.375,20.9,1.9,0.406,1.1,1.9,0.867,1.6,0.231,2.1,7,5,2.6,0.3,2.6,6.9
Thon Maker,0,1.7,3,1,0,0,0.7,0.7,0.7,0.75,4,1,1,0,0.3,0.5,0,0.667,0.3,3,0.3,2.3,0.7,1,1.3
Matthew Dellavedova,0.1,1.5,5.8,0.4,3.5,38,2.1,1,0.7,0.398,21.3,2.6,0.496,1.1,0.6,0.823,0.5,0.396,1.1,222,2.6,2,0.5,2.1,5.3
Mirza Teletovic,0.3,2.8,8.7,0.47,0.9,13,1.8,1.7,1.1,0.412,18.3,4.6,0.529,0.8,0.8,0.752,0.4,0.377,1.3,251,2.8,3.5,0.7,3.1,7.4
Michael Beasley,0.5,3.7,12.9,0.47,1.3,200,2.2,0.5,2.5,0.453,24.2,1.5,0.475,1.7,1.9,0.758,0.6,0.341,4.7,460,10.1,4.8,1.1,5.2,11.6
Greg Monroe,0.6,6,14.4,0.508,2.3,401,2.4,0,4.2,0.508,30.8,0,0.508,2,2.9,0.704,1.1,0,5.8,464,11.3,9.1,3.1,5.8,11.3
Khris Middleton,0.2,3.2,13.6,0.473,2.7,201,2.6,1.4,2.4,0.449,30.6,3.6,0.514,1.6,2.1,0.873,1.3,0.4,3.6,267,7.6,3.8,0.6,5.1,11.3
Rashad Vaughn,0.3,1.1,3.5,0.333,0.5,6,1.1,0.7,0.2,0.322,14.5,2.3,0.412,0.4,0.2,0.8,0.4,0.314,0.6,76,1.7,1.3,0.1,1.3,4
Jabari Parker,0.3,3.6,13.9,0.503,1.7,104,1.9,0.2,3,0.492,31.2,0.6,0.499,1.6,2.3,0.763,1,0.281,5.6,108,11.1,5.3,1.7,5.7,11.7
Giannis Antetokounmpo,1.1,5.1,12.5,0.515,3,180,2.9,0.3,4.1,0.485,30.6,1.2,0.502,2.1,2.9,0.723,1,0.275,4.3,245,8.3,6.3,1.2,4.6,9.5
John Henson,1.5,3.2,7.8,0.538,1,44,2.2,0,2,0.536,18.8,0,0.536,1.2,1.1,0.547,0.4,0,3.3,263,6.2,5.2,1.9,3.3,6.2
Tony Snell,0.2,2.1,5.3,0.449,0.9,73,1.3,0.9,0.6,0.395,18.8,2.6,0.484,0.7,0.5,0.814,0.4,0.344,1.1,219,2.4,2.4,0.3,2,5
Isaiah Canaan,0.1,1.6,9.3,0.385,1.8,60,1.6,1.9,1.8,0.371,21.4,5.3,0.491,1.1,1.5,0.817,0.6,0.363,1,154,2.7,1.9,0.3,3,8
Denzel Valentine,0.2,0.5,2.2,0,0.2,0,0.5,0.7,0.3,0.364,5.5,1.3,0.545,0.5,0.2,0.5,0,0.5,0,6,0.5,0.7,0.2,0.7,1.8
Dwyane Wade,0.9,3.6,23.6,0.508,5.8,853,2.3,0.5,7.9,0.488,35.7,1.6,0.501,3.4,6,0.768,1.7,0.287,8.1,863,15.9,4.8,1.3,8.5,17.5
Rajon Rondo,0.1,3.7,10.9,0.487,8.7,600,2.3,0.3,2.5,0.466,32.8,1,0.482,2.9,1.5,0.606,1.8,0.287,4.3,653,8.7,4.8,1.1,4.6,9.8
Cristiano Felicio,0.3,2.3,3.3,0.576,0.8,4,1.1,0,1,0.551,10.8,0.1,0.551,0.4,0.7,0.718,0.2,0,1.3,38,2.2,3.3,1,1.3,2.3
Robin Lopez,1.2,2.9,8.5,0.534,0.6,407,2.1,0,2.1,0.533,22.1,0,0.533,1,1.6,0.763,0.3,0,3.4,555,6.4,5.4,2.5,3.4,6.4
Jimmy Butler,0.5,3.1,13.8,0.481,2.6,227,1.4,0.8,4.9,0.446,31.2,2.4,0.485,1.3,4,0.815,1.4,0.332,3.7,331,7.7,4.5,1.4,4.5,10.1
Bobby Portis,0.3,3.3,6.9,0.451,0.8,4,1.6,0.2,1.1,0.436,17.1,0.8,0.455,0.8,0.8,0.712,0.4,0.321,2.7,69,5.9,5.2,2,2.9,6.7
Jerian Grant,0.1,1.6,5.5,0.449,2.3,6,1.2,0.3,1.6,0.389,16.3,1.3,0.417,1.1,1.2,0.786,0.7,0.217,1.7,80,3.8,1.9,0.3,2,5.1
Doug McDermott,0.1,1.7,7.7,0.48,0.6,4,1.3,1,0.9,0.452,18.9,2.5,0.532,0.6,0.8,0.83,0.2,0.408,1.9,124,4,2.1,0.4,2.9,6.5
Michael Carter-Williams,0.6,4.5,14.3,0.442,6.1,170,2.8,0.6,4.3,0.411,32.4,2.2,0.432,3.4,2.9,0.691,1.7,0.256,4.9,193,11,5.6,1.1,5.4,13.2
Nikola Mirotic,0.7,4.4,10.8,0.467,1.3,41,2.1,1.6,3.1,0.404,22.3,4.5,0.498,1.3,2.5,0.805,0.7,0.349,1.8,156,3.8,5.2,0.8,3.4,8.3
Taj Gibson,1.3,4,9.2,0.494,1,182,2.6,0,2.4,0.492,25,0,0.492,1.2,1.6,0.692,0.5,0.045,3.8,515,7.7,6.4,2.4,3.8,7.7
Michael Gbinije,0,0,0.7,0,0.3,0,0.3,0,0.7,0,3.3,0.7,0,0,0.7,1,0,0,0,3,0.3,0,0,0,1
Andre Drummond,1.6,7.9,13.2,0.552,0.6,262,3.1,0,4.8,0.551,29.7,0,0.552,1.5,1.8,0.384,1.2,0.25,5.7,312,10.3,12.6,4.7,5.7,10.3
Ish Smith,0.2,1.7,5.9,0.416,3.4,83,1,0.3,1,0.397,16.6,0.9,0.419,1.3,0.6,0.649,0.7,0.291,2.2,331,5.3,2.1,0.4,2.5,6.2
Jon Leuer,0.3,2.7,5.8,0.501,0.7,45,1.5,0.3,1,0.48,14.1,0.8,0.512,0.6,0.7,0.724,0.4,0.376,2.1,261,4.1,3.6,0.9,2.4,5
Darrun Hilliard,0,1,3.8,0.402,0.8,2,0.7,0.5,1.1,0.388,9.8,1.3,0.459,0.5,0.8,0.727,0.2,0.365,0.8,41,2,1.1,0.1,1.3,3.3
Reggie Jackson,0.1,2.6,11.9,0.477,4.2,155,1.7,0.9,2.3,0.433,24.1,2.8,0.475,1.9,2,0.859,0.7,0.314,3.6,351,7.6,3.2,0.5,4.5,10.4
Tobias Harris,0.5,4.6,13.3,0.506,1.5,224,2,0.8,3.1,0.466,28.3,2.5,0.503,1.3,2.5,0.803,0.7,0.328,4.2,310,8.3,5.8,1.2,5,10.8
Aron Baynes,0.4,2.6,5.3,0.517,0.6,22,1.9,0,1.4,0.514,13.6,0,0.515,0.8,1.1,0.797,0.2,0.143,2.1,228,4.1,4,1.4,2.1,4.1
Stanley Johnson,0.2,3.3,7.8,0.411,1.6,6,2.3,0.8,1.4,0.376,22.6,2.7,0.429,1.5,1,0.773,0.7,0.309,2.1,81,5.1,4,0.8,2.9,7.8
Marcus Morris,0.2,3.2,10.3,0.475,1.5,147,2,1.2,2,0.432,24.9,3.4,0.501,1.2,1.4,0.704,0.7,0.362,2.6,345,5.5,4.2,1,3.8,8.8
Reggie Bullock,0.1,1.3,2.6,0.436,0.4,2,0.6,0.5,0.3,0.381,10,1.5,0.483,0.3,0.2,0.818,0.3,0.343,0.4,116,1,1.5,0.2,0.9,2.5
Kentavious Caldwell-Pope,0.2,2.3,11.1,0.463,1.3,207,2,1.4,1.9,0.407,29.3,4.2,0.476,1,1.5,0.769,1.2,0.329,2.7,246,5.9,2.9,0.7,4.1,10.1
Aaron Brooks,0.1,1.4,10.7,0.443,3.3,182,2,1.4,1.9,0.413,22.5,3.7,0.488,1.7,1.6,0.84,0.6,0.37,2.5,553,5.5,1.8,0.4,3.8,9.3
Al Jefferson,1.3,6.5,16.6,0.5,1.5,649,2.6,0,3.3,0.498,30.5,0.1,0.499,1.4,2.3,0.707,0.7,0.127,7.1,821,14.2,8.9,2.4,7.1,14.3
Joe Young,0,1.1,3.9,0.43,1.5,0,0.7,0.3,0.7,0.381,9.4,1.1,0.415,0.7,0.5,0.75,0.3,0.25,1.3,47,3,1.2,0.1,1.6,4.1
Glenn Robinson III,0.1,1,3.1,0.449,0.5,5,0.4,0.2,0.8,0.417,9.7,0.7,0.461,0.4,0.5,0.662,0.3,0.328,0.9,87,2,1.3,0.4,1.2,2.8
Rodney Stuckey,0.2,2.3,12.9,0.443,3.7,302,2.1,0.4,4,0.425,28,1.4,0.444,1.8,3.3,0.826,0.9,0.299,4.2,614,9.4,3,0.7,4.6,10.8
Lavoy Allen,0.6,3.1,5,0.475,1,82,1.9,0,0.7,0.472,18.3,0,0.472,0.7,0.5,0.675,0.3,0.133,2.3,335,4.8,4.9,1.8,2.3,4.8
Monta Ellis,0.3,2.9,18.6,0.482,4.8,688,2.4,0.9,4.4,0.451,35.6,2.9,0.48,2.8,3.4,0.774,1.7,0.314,6.3,767,13,3.5,0.7,7.2,15.9
Thaddeus Young,0.4,3.9,13.9,0.517,1.5,443,2.2,0.4,2.3,0.498,30.6,1.2,0.514,1.5,1.6,0.687,1.4,0.32,5.6,673,10.7,5.9,2,5.9,11.9
Myles Turner,1.6,4.5,11,0.519,0.7,38,2.7,0.1,2.3,0.507,23.4,0.4,0.512,1.1,1.7,0.742,0.5,0.24,4.5,68,8.7,5.7,1.2,4.6,9.1
Jeff Teague,0.3,1.9,12.2,0.475,5.2,391,1.8,0.8,3,0.446,26.2,2.3,0.487,2.2,2.5,0.837,1.2,0.352,3.6,526,7.6,2.2,0.3,4.4,9.9
Paul George,0.4,5.3,17,0.463,3.1,333,2.6,1.9,4.2,0.426,32.2,5.2,0.496,2.5,3.5,0.839,1.7,0.366,3.9,381,8.5,6.2,0.9,5.8,13.6
C.J. Miles,0.3,1.9,9.8,0.467,1.2,270,2.2,1.3,1.7,0.417,20.6,3.7,0.496,1,1.4,0.799,0.8,0.355,2.2,647,4.7,2.4,0.5,3.5,8.5
Gerald Green,0.3,2,9.9,0.464,1,116,1.9,1.3,1.7,0.42,20.2,3.6,0.496,1.2,1.4,0.815,0.5,0.361,2.3,504,5,2.5,0.5,3.6,8.6
Demetrius Jackson,0,0.5,5,0.667,1,0,0,0.5,3,0.75,7.5,0.5,0.875,0,1.5,0.5,0,1,1,2,1.5,1.5,1,1.5,2
Jaylen Brown,0.6,1.3,7.6,0.515,1.1,3,2.4,0.6,1.4,0.467,19,1.7,0.511,0.9,1,0.7,0.9,0.333,2.4,7,4.7,2.3,1,3,6.4
Al Horford,1.2,6.5,14.3,0.545,2.8,577,2.4,0.2,2.5,0.535,33.4,0.6,0.543,1.6,1.9,0.743,0.8,0.338,5.9,581,10.9,8.9,2.4,6.1,11.5
Amir Johnson,1.1,3.6,7.6,0.588,1.1,391,3.1,0.1,1.6,0.574,22.6,0.3,0.583,1.1,1.1,0.673,0.6,0.328,3.1,672,5.3,5.8,2.1,3.2,5.6
Jonas Jerebko,0.3,2.8,6.6,0.497,0.8,88,2,0.5,1.4,0.457,18.8,1.5,0.506,0.8,1.1,0.767,0.6,0.353,2,417,3.9,4.2,1.4,2.5,5.5
Jae Crowder,0.3,2.7,7.8,0.512,1.2,118,1.8,1,1.6,0.428,21.2,3,0.502,0.7,1.3,0.776,1,0.327,1.8,315,3.6,3.4,0.7,2.8,6.5
Terry Rozier,0,1.2,2.4,0.32,1.1,0,0.7,0.3,0.3,0.308,9.6,0.9,0.35,0.5,0.2,0.643,0.2,0.279,0.7,46,2.2,1.8,0.5,1,3.1
James Young,0,0.9,2.1,0.49,0.4,0,0.6,0.4,0.5,0.333,8.5,1.4,0.415,0.2,0.3,0.515,0.2,0.25,0.4,64,0.8,1.1,0.2,0.7,2.2
Marcus Smart,0.3,2.7,8.6,0.422,3.1,48,2.8,1.2,2.3,0.36,27.3,4.1,0.436,1.4,1.6,0.711,1.5,0.299,1.7,132,3.9,3.7,1.1,2.9,8
Isaiah Thomas,0.1,2,17.3,0.483,5.1,240,2.2,1.7,4.9,0.438,29.3,4.7,0.504,2.3,4.3,0.863,1,0.36,3.9,372,8.2,2.6,0.6,5.6,12.9
Kelly Olynyk,0.5,3.2,9.6,0.507,1.6,30,3,0.9,1.9,0.464,20.8,2.5,0.523,1.4,1.4,0.746,0.7,0.371,2.7,204,5.3,4.7,1.5,3.6,7.8
Avery Bradley,0.2,2.1,11.6,0.473,1.7,292,2.1,1.2,1.3,0.44,27.5,3.3,0.495,1.3,1,0.777,1,0.363,3.5,365,7.5,2.7,0.6,4.7,10.7
Sasha Vujacic,0.1,1.6,5.5,0.42,1.3,54,1.6,0.9,0.8,0.393,15.7,2.5,0.491,0.6,0.7,0.864,0.6,0.369,1,544,2.3,1.9,0.4,1.9,4.8
Brandon Jennings,0.2,2.5,15.4,0.413,5.9,416,1.9,1.8,3.4,0.39,32.1,5.1,0.453,2.3,2.7,0.798,1.3,0.349,3.7,467,8.9,3.1,0.6,5.5,14
Lance Thomas,0.1,1.7,5.5,0.44,0.7,61,1.6,0.2,1.5,0.434,18.2,0.6,0.458,0.8,1.2,0.79,0.4,0.39,1.8,233,4.1,2.5,0.8,2,4.7
Courtney Lee,0.3,2.2,9.6,0.483,1.6,367,1.7,1,1.5,0.451,27.4,2.7,0.514,1,1.2,0.846,1,0.384,2.7,607,5.5,2.6,0.4,3.7,8.2
Joakim Noah,1.4,6.1,9.2,0.492,3,472,2.9,0,3.1,0.49,29.4,0,0.49,1.8,2.2,0.709,0.8,0,3.5,579,7.2,9.4,3.3,3.5,7.2
Mindaugas Kuzminskas,0,0.5,5.8,0.5,0.3,0,1,1,1,0.471,10,2.3,0.588,0,0.8,0.75,0.8,0.444,1,4,2,1.5,1,2,4.3
Justin Holiday,0.3,1.3,4.4,0.42,1,9,1,0.6,0.7,0.38,13.1,1.9,0.454,0.6,0.6,0.777,0.6,0.331,1,128,2.3,1.5,0.2,1.6,4.2
Kyle O'Quinn,0.8,3,5.2,0.512,1.1,42,2,0.1,1,0.495,14,0.3,0.502,0.9,0.7,0.721,0.4,0.239,2.1,249,4.1,4.2,1.2,2.2,4.4
Kristaps Porzingis,1.8,5.4,14.7,0.459,1.3,79,2.9,1.2,3.5,0.428,28.7,3.6,0.478,1.6,2.9,0.822,0.7,0.349,4.1,79,8.8,7.3,1.8,5.3,12.4
Carmelo Anthony,0.5,4.8,24.9,0.476,3.1,909,2.9,1.1,7.4,0.453,36.3,3.3,0.482,2.8,6,0.812,1.1,0.343,7.7,909,16.3,6.6,1.9,8.9,19.6
Derrick Rose,0.4,2.8,19.6,0.477,6.2,412,1.4,0.9,4.3,0.448,34.9,2.8,0.473,2.9,3.5,0.813,0.8,0.303,6.8,413,14.2,3.7,0.9,7.6,17
Anthony Bennett,0.2,2.2,4.3,0.414,0.5,3,1.4,0.2,1.1,0.387,12.7,0.8,0.41,0.7,0.7,0.66,0.4,0.262,1.5,132,3.5,3,0.8,1.7,4.3
