name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Evan Turner,0.2,4.6,10.7,0.45,3.7,241,2.1,0.4,2.2,0.431,28.5,1.3,0.451,2,1.7,0.778,0.8,0.306,3.9,478,8.6,5.1,0.6,4.3,9.9
Pat Connaughton,0,0.6,1,0.286,0.4,0,0.2,0.1,0.2,0.265,4.4,0.6,0.316,0.3,0.2,0.857,0.1,0.238,0.2,36,0.8,0.9,0.3,0.4,1.4
Ed Davis,1,4.1,7,0.563,0.8,82,2.4,0,2,0.563,21.1,0,0.563,0.8,1.1,0.564,0.5,0,2.9,444,5.2,6.4,2.3,2.9,5.2
Al-Farouq Aminu,0.6,4.1,7,0.468,1.2,264,1.9,0.5,1.7,0.428,23.5,1.6,0.471,1.3,1.2,0.725,1,0.319,2.1,467,4.5,5.5,1.4,2.6,6.2
Noah Vonleh,0.3,2.7,3.6,0.441,0.3,57,1.6,0.2,0.7,0.413,13.8,0.7,0.44,0.6,0.5,0.732,0.3,0.292,1.3,110,2.8,3.8,1.1,1.4,3.5
Shabazz Napier,0,1.3,4.3,0.384,2.1,10,1.1,0.7,0.9,0.364,14.9,2.1,0.455,1.2,0.7,0.745,0.6,0.346,0.7,112,1.9,1.5,0.2,1.4,4
C.J. McCollum,0.2,1.9,13.1,0.462,2.4,92,1.9,1.6,2,0.445,24,3.9,0.516,1.6,1.6,0.794,0.9,0.412,3.4,189,7.3,2.3,0.4,5,11.2
Damian Lillard,0.3,3.3,21.6,0.469,6.2,330,2.2,2.6,5.1,0.428,36.4,7,0.504,2.8,4.5,0.872,0.9,0.37,4.7,330,10,3.9,0.5,7.3,17
Mason Plumlee,0.9,4.2,8.5,0.571,1.6,158,2.7,0,3.6,0.567,21.9,0,0.567,1.4,2.1,0.584,0.8,0,3.2,243,5.6,6.2,2,3.2,5.7
Thomas Robinson,0.4,3.1,4.8,0.46,0.6,11,1.8,0,1.6,0.458,13.6,0,0.458,1,0.8,0.511,0.5,0,2,269,4.3,4.8,1.7,2,4.3
Brandon Ingram,0.4,2.8,6.4,0.444,1.3,0,1.3,0.5,2.4,0.364,20.4,2.1,0.409,1,1.9,0.789,0.6,0.235,1.5,8,3.4,3.3,0.5,2,5.5
Tarik Black,0.4,3.3,5,0.567,0.6,39,2.3,0,1.5,0.565,16.4,0,0.565,0.7,0.8,0.533,0.3,0,2.1,110,3.7,5.1,1.8,2.1,3.7
Marcelo Huertas,0.1,1.4,4.4,0.474,3.4,0,1.4,0.3,0.5,0.418,16.2,1.1,0.451,1.5,0.5,0.931,0.5,0.258,1.5,55,3.2,1.7,0.3,1.8,4.3
Jordan Clarkson,0.2,2.5,14,0.478,2.8,117,2,1.1,2.6,0.441,29.1,3.2,0.484,1.7,2.1,0.816,1,0.335,4.4,146,9.1,3.6,1.1,5.4,12.3
Timofey Mozgov,0.9,3.3,6.9,0.545,0.5,215,2.2,0,1.9,0.538,18.3,0.1,0.54,1.2,1.4,0.73,0.3,0.175,2.7,376,5,5.1,1.7,2.7,5.1
Luol Deng,0.5,4.5,15.4,0.482,2.4,784,1.7,0.7,3.7,0.457,35.2,2.2,0.485,1.7,2.9,0.771,1,0.334,5.2,831,10.8,6.2,1.7,5.9,13
